id	name	name_en	name_zh-CN	name_zh-TW
409	予想外の窮地	An Unexpected Predicament	预料之外的危机	意料之外的困境
410	今だけは	Just This Once	珍惜现在	只有現在
411	最後の楔	The Final Wedge	最后的楔子	最後的楔子
412	王国の悲願	The Kingdom's Plea	王国的夙愿	王國的夙願
413	晴れ舞台	Spotlight Time	隆重亮相	重要時刻
414	新たな希望	A New Hope	新的希望	新希望
415	桁違い	A Different League	天差地别	天差地遠
416	夜の始まり	Nightfall	夜晚的开始	夜晚的開始
417	悪い知らせ	Bad Tidings	坏消息	壞消息
418	ランツェの帰還	Lanze's Return	兰泽回归	藍澤回歸
419	時代を拓くおじさん	Old Man Who Pioneered an Era	开拓时代的大叔	開拓時代的大叔
420	ささやかな刺激	A Subtle Thrill	些许的刺激	微小的刺激
421	夢を運ぶ船	Ship of Dreams	载梦之船	承載夢想的船
422	どん底の天使	Angel at Rock Bottom	逆境天使	谷底的天使
423	念願の初航海	Long-Awaited First Voyage	期盼已久的初次航海	期待已久的初次航行
424	期待の右腕	Promising Right-Hand	备受期待的得力助手	備受矚目的左右手
425	明確な違い	Clear Distinction	明显差别	明確的不同
426	行商人の情熱	The Peddler's Passion	旅行商人的热情	旅行商人的熱情
427	船乗りの勘	Seafarer's Intuition	船员的直觉	船員的直覺
428	感動の再会……？	Heartfelt Reunion?	令人感动的重聚……？	令人感動的再會……？
429	家庭の事情	Family Matters	家人的苦衷	家家有本難念的經
430	三拍子の楽園	Triple Paradise	应有尽有的乐园	滿足三個重要條件的樂園
431	着実な成果	Consistent Results	丰硕的成果	紮實的成果
432	分かってはいても	Despite Knowing	虽然明白	儘管如此
433	モフモフの意地	Fluffy Resolve	毛茸茸的骨气	毛茸茸的堅持
434	本気の倍返し	Serious Payback	认真的反击	認真的加倍奉還
435	ならではの発想	Signature Idea	独特的想法	獨一無二的想法
436	より良い物を	Striving for Better	择优入选	更好的東西
437	一子相伝の内緒事	Inherited Secrets	一脉单传的秘密	一子單傳的祕密
438	嘘つきの経緯	Reasons for Lying	谎言的前因后果	謊言的理由
439	優しさを織り込んで	Woven with Kindness	织入柔情	交織的溫柔
440	船長のお墨付き	Captain's Endorsement	船长的保证	船長打包票
441	大船に乗って	In Good Hands	脚踩大船	乘著大船
442	幻か現か	Illusion or Reality?	似真似幻	幻覺抑或現實
443	後のことも考えて	Planning Ahead	为之后做打算	請深思熟慮
444	無償の思いやり	Selfless Compassion	无偿的关怀	不求回報的關懷
445	対決当日	Day of the Showdown	对决当天	對決當天
446	ぶつかるよりも	Rather than Butting Heads	比冲突更重要的事	比起衝突
447	女王の誓い	The Queen's Vow	女王的誓言	女王的誓言
448	癒えぬ渇き	Insatiable Thirst	无法满足的渴求	無法緩解的渴望
449	砂混じりの後味	Sandy Aftertaste	混着沙子的回味	混和了沙子的餘味
450	家族の資格	Worthy of Family	家人的资格	家人的資格
451	目の前の答え	The Answer at Hand	眼前的答案	面前的答案
452	父親の覚悟	A Father's Resolve	父亲的决心	父親的決心
453	娘のおねだり	A Daughter's Plea	女儿的撒娇	女兒的請求
454	帰れる場所	A Place to Call Home	归处	能回去的地方
455	次なる展望	Looking Ahead	下一个展望	下一個展望
456	「偶然」の出会い	Chance Meeting	“偶遇”	「偶然」的相遇
457	誘いの裏側	Hidden Motives	邀约的隐情	邀約的背後
458	そっちから先に	After You	以家人为先	從那邊先開始
459	いよいよの本腰	Time to Get Serious	准备正式开战	終於拿出幹勁
460	向き合う機会	Chance to Face Fear	直面弱点的机会	正面相對的機會
461	自主的荒療治	Self-Imposed Drastic Measures	主动进行暴露疗法	主動下猛藥
462	両手に花	Two Beauties	两位丽人	左擁右抱
463	青空と太陽	Sky and Sun	蓝天与太阳	藍天與太陽
464	綻びの兆し	Signs of Failure	破绽的预兆	綻開的徵兆
465	力の配分	Managing Energy	分配力量	分配精力
466	思わぬお宝	An Unexpected Treasure	意想不到的宝物	意想不到的寶物
467	文武両道	Master of Both Pen and Sword	文武双全	文武雙全
468	幸せな苦しみ	Joyful Agony	幸福的痛苦	幸福的苦惱
469	蜘蛛の巣	Spider's Web	蜘蛛网	蜘蛛網
470	白を纏う者	Knight in White	身着白铠者	身穿白色鎧甲之人
471	鴉の秘薬	Crow's Potion	鸦的秘药	烏鴉的祕藥
472	いくら慣れても	Even with Training	还是受不了	即使已經習慣
473	苦手克服の会	Face Your Fears Club	克服弱点大会	克服弱點的集會
474	矜持との狭間で	Between Pride and Duty	困于自尊心	與尊嚴的狹縫間
475	任務再び	Back to the Mission	继续执行任务	任務再臨
476	強さの秘訣	The Secret to Strength	强大的秘诀	強大的祕訣
477	騎士なりの愛で方	Knightly Affection	骑士独有的爱抚方式	屬於騎士的疼愛方式
478	甘い囁き	Sweet Murmurs	甜蜜低语	甜美的細語
479	仲間の前なら	With Companions	在伙伴面前的话	只要在夥伴面前
480	今後の課題	Next Objectives	今后的课题	今後的課題
481	鴉の行方	Tracking Crow	鸦的去向	烏鴉的下落
482	白衣の研究者	Lab Coat Researcher	身穿白衣的研究者	白衣研究者
483	新たな来賓	New Arrival	新的客人	新的來賓
484	確実な一歩	Steady Progress	坚实的一步	確實的一步
485	揺るがぬ目的	Unwavering Goals	不变的目的	堅定的目的
486	ロマンの忠告	Roman's Warning	罗曼的忠告	羅曼的忠告
487	脈打つ記憶	Stinging Memories	跳动的记忆	脈動的記憶
488	老いの勲章	Badge of Old Age	老旧的勋章	年老的勳章
489	存在価値	The Worth of Existence	存在的价值	存在價值
490	大穴調査	Big Hole Investigation	调查深坑	調查大洞
491	謎の語り部	Mysterious Storyteller	神秘的讲述者	神秘講述者
492	二人の妹	Two Sisters	两位妹妹	兩個妹妹
493	ユリエ先生	Mentor Jurie	尤莉耶老师	尤莉耶老師
494	その先の思い	Thoughts Beyond	今后的想法	未來的意念
495	騎士のやきもち	A Knight's Jealousy	骑士的妒忌	騎士吃醋
496	一抹の寂しさと	A Touch of Loneliness	一丝孤单	與一絲寂寞
497	もう１人の英雄	Another Hero	又一位英雄	另一位英雄
498	美味しいデート	Delicious Date	美味的约会	美味的約會
499	ギタギタのボコボコ	To Smithereens	满地找牙	落花流水滿地找牙
500	ロマンの秘策	Roman's Secret Plan	罗曼的秘策	羅曼的計謀
501	悪人練習	Villain Training	坏人练习	壞人練習
502	闇に紛れて	Shrouded in Darkness	遁入黑暗	潛入黑暗
503	潜入開始	Operation: Infiltration	潜入行动开始	開始潛入
504	宝箱の中身は	What's in the Treasure Chest?	宝箱里的东西	寶箱的裡面是
505	ヴァレリアの人生相談	Valeria's Life Advice	探讨人生的瓦莱莉娅	瓦萊莉婭的人生諮詢
506	足跡を辿って	Following Footsteps	追寻足迹	循著足跡
507	オリバーの番犬	Oliver's Guard Dog	奥利弗的看门狗	奧利弗的看門犬
508	王子の取引	The Prince's Bargain	王子的交易	王子的交易
509	鴉の獲物	Crow's Prey	鸦的猎物	烏鴉的獵物
510	深淵へ	Into the Abyss	坠入深渊	墜入深淵
511	黒い羽根に包まれて	Wrapped in Black Feathers	在黑色羽毛包裹之下	被黑色羽毛所包覆
512	仮面で封じたもの	Sealed with a Mask	被面具封印的东西	面具所封印的事物
513	完全決着の時	The Final Showdown	正面对决之时	徹底了結的時刻
514	消える余裕、生まれる余裕	Losing Freedom, Gaining Freedom	消失的从容，诞生的从容	消失的從容，誕生的從容
515	薬の行方	Finding the Medicine	药的下落	藥的下落
516	焦る気持ちの前に	Before the Desperation	先别急躁	在著急的心情面前
517	かすみゆく影	Fading Shadow	分崩离析之影	逐漸消逝之影
518	気配、再び	Another Presence	再次登场	氣息再起
519	魔法使いと研究者	The Witch and the Researcher	魔法师与研究者	魔法師與研究者
520	雑食の目覚め	First-Time Omnivore	杂食的觉醒	雜食的覺醒
521	奥の手	Last Resort	杀手锏	殺手鐧
522	受け入れがたい決定打	Unbearable Truth	难以接受的致命一击	難以接受的決勝一擊
523	人生の主	Master of Life	人生的主人	人生的主人
524	奈落の底	Bottom of the Abyss	地狱之底	地獄之底
525	牢の中のあの子	The Girl in the Cell	牢房里的女孩	牢裡的那女孩
526	鍛錬	Training	锻炼	鍛鍊
527	高地の難しさ	High-Altitude Struggles	高地的难点	高地之難
528	本当にやりたいこと	What I Really Want to Do	真正想做的事	真正想做的事
529	野営飯のいろは	Camp Cooking 101	野炊入门	野炊料理入門
530	霧の中	In the Mist	雾中	迷霧之中
531	鍛錬の成果	The Fruits of Training	锻炼的成果	鍛鍊的成果
532	あの子の罪	The Girl's Sin	她的罪孽	那女孩的罪行
533	友達みたいに	Just like Friends	像朋友一样	像朋友一樣
534	師匠の依頼	The Mentor's Request	师父的委托	師父的委託
535	行為の責任	Responsibility for One's Actions	为行动负责	行為責任
536	戦闘の天才	Combat Genius	战斗天才	戰鬥天才
537	星と信仰	Stars and Faith	星星和信仰	星星與信仰
538	信じるべきは	What to Believe In	应该相信什么	應該相信的是
539	本への興味	An Interest in Books	对书本的兴趣	對書的興趣
540	感謝の気持ち	Feelings of Gratitude	感谢之情	感謝的心
541	先客の存在	Someone Was Here First	捷足先登之人	先到的訪客
542	霧を晴らすには	How to Clear the Mist	为了驱散雾气	讓濃霧散去的方法
543	趣味の共有	Sharing Hobbies	分享爱好	共同愛好
544	霧の中のティータイム	Tea Time in the Mist	雾中的茶点时间	霧中的下午茶時光
545	生物の本質	The Essence of Life	生物的本质	生物本質
546	単独行動	Acting Alone	独断专行	單獨行動
547	心配	Worry	担忧	擔心
548	人質の価値	The Value of a Hostage	人质的价值	人質的價值
549	決闘申し込み	Challenged to a Duel	决斗的战书	要求決鬥
550	友達だから	Because We're Friends	因为是朋友	因為是朋友
551	因縁	Tied Together	因缘	因緣
552	獣化の脅威	The Threat of Beast Transformation	兽化的威胁	獸化的威脅
553	愛読書の真実	The Truth behind the Book	心爱之书的真相	愛書的真相
554	当然の気持ち	Natural Emotions	理所当然的感情	理所當然的心情
555	思いを受け入れて	Embracing Emotions	接受这份心意	接納想法
556	二人の正体	Their True Identities	两人的真面目	兩人的真面目
557	備えあれば	Prepared for Anything	有备而来	未雨綢繆
558	一緒に働きませんか？	Shall We Work Together?	一起工作吧？	要不要一起工作？
559	癒しの装い	Healing Attire	治愈人心的装扮	治癒裝束
560	草陰かくれんぼ	Hide-and-Seek in the Grass	草丛捉迷藏	草叢捉迷藏
561	不在の師匠	The Missing Mentor	师父不在	缺席的師父
562	似た者同士？	Birds of a Feather?	性情相似？	同類？
563	厄介な番犬	Troublesome Guard Dog	棘手的守卫	棘手的看門狗
564	新たな助っ人	New Backup	新的帮手	新的幫手
565	瘴気の先	Past the Miasma	瘴气前方	瘴氣的前方
566	不幸中の幸い	Silver Lining	不幸中的万幸	不幸中的大幸
567	粘液分析	Mucus Analysis	分析黏液	黏液分析
568	交渉	Negotiation	交涉	交涉
569	苦しんでいる人	Those in Pain	正在受苦的人	受苦的人
570	師弟の絆	Student-Mentor Bond	师徒之情	師徒情誼
571	期待以上の成果	Exceeding Expectations	超出预期的成果	超乎預期的成果
572	知らない記憶	Unknown Memories	不曾有的记忆	未知的記憶
573	罠だとしても	Even If It's a Trap	即使是个圈套	即使是陷阱
574	借りは返すもの	Debts Must Be Repaid	有借有还	有借必有還
575	本当の私	The Real Me	真正的自己	真正的我
576	集う同行者たち	Gathering Companions	同行人集结	聚集的旅伴們
577	彼の大切な人	Important Family	他的重要之人	他最重視的人
578	古城攻略作戦	Conquer the Ancient Castle	古堡攻略计划	古城攻略作戰
579	錬金術の源	The Source of Alchemy	炼金术的本源	鍊金術的源頭
580	ハイディの出自	Heidi's Roots	海蒂的出身	海蒂的出身
581	ヴァレリアと謎の石	Valeria and the Mysterious Stone	瓦莱莉娅和神秘的石头	瓦萊莉婭與神秘的石頭
582	コンビネーションアイデア	Combined Ideas	组合灵感	組合妙計
583	二人の騎士	The Two Knights	两名骑士	兩位騎士
584	レスナと謎の石	Resna and the Mysterious Stone	蕾斯娜和神秘的石头	蕾斯娜與神秘的石頭
585	合流	Reunion	汇合	會合
586	晩餐会へご招待	Invitation to the Banquet	晚餐会的邀请	晚宴的邀請
587	それぞれの錬金術	Types of Alchemy	各自的炼金术	各自的鍊金術
588	世界への疑問	Questioning the World	对世界的疑问	對世界抱持疑問
589	因縁、完全なる決着へ	Fated Battle; Final Resolution	因缘、最终的决战	徹底了斷孽緣
590	悪あがき	Pointless Struggle	挣扎	無謂的掙扎
591	溢れる力	Overflowing Power	满溢的力量	滿溢的力量
592	時間稼ぎ	Buying Time	争取时间	爭取時間
593	未知の実力	Unknown Strength	未知的实力	未知的實力
594	骸の使い道	The Use of the Remains	尸骸的用途	屍骸的用途
595	無事の帰還	Safe Return	平安归来	平安歸來
596	二人の夢	Two Dreams	两人的梦想	兩人的夢想
597	ララ・キングダム	The Kingdom of Lara	拉拉王国	拉拉王國
598	償いは	Atonement	赎罪	補償
599	ジェロンの渇望	Geron's Desire	杰隆的愿望	傑隆的渴望
600	獣化の呪い	The Curse of Beast Transformation	兽化的诅咒	獸化的詛咒
601	治癒の天稟	Natural Gift for Healing	治愈天赋	治療天賦
602	恩人	Savior	恩人	恩人
603	二人だけの共通点は？	Something in Common?	两人的共同点是？	專屬兩人的共同點？
604	人造頂獣の脅威	The Man-Made Apexi Threat	人造顶兽的威胁	人造頂獸的威脅
605	「何者かの意思」	"""The Will of Some Unseen Force"""	“某种意志”	「某人的意志」
606	ホムンクルス	Homunculus	荷蒙克鲁斯	荷蒙克魯斯
607	クリセルダという人物	She Is Known as Criselda	克莉赛尔达其人	名為克莉賽爾達的人物
608	錬金党の拠点	Polar Night Alchemists' Base	炼金党的据点	鍊金黨的據點
609	迫り来る影	Looming Shadows	逼近的暗影	迫近的黑影
610	お見舞い	A Caring Visit	探病	探望
611	奇襲	Ambushed!	奇袭	偷襲
612	襲われる異邦人たち	Wanderers under Attack	被袭击的异邦人们	遭到襲擊的異邦人們
613	世界の真実を求める者たち	Seekers of the World's Truth	寻求世界的真实的人们	尋求世界真相的人們
614	家族の安否	A Family's Fate	家人的安危	家人的安危
615	師匠の圧	Mentor's Pressure	师父的气场	師父的壓力
616	海の要塞	Fortress on the Sea	海洋要塞	海邊要塞
617	兄と姉のシンパシー	Sympathy between Siblings	哥哥和姐姐的共鸣	兄姊的支持
618	王直々の勧誘	Royal Invitation	王的邀请	君主親口邀請
619	噂をすれば	Speak of the Devil	说到就到	說人人到
620	最悪の想定	Worst-Case Scenario	最糟糕的预想	設想最糟情況
621	犯行予告	Warning before the Crime	犯罪预告	犯罪預告
622	徹底抗戦	Fight to the Finish	抵抗到底	徹底抗戰
623	特殊な才能	A Unique Talent	特殊才能	特殊才能
624	捜索開始！	The Search Begins!	开始搜索！	搜索開始！
625	騎士の在り方	A Knight's Code	骑士之道	騎士的理想姿態
626	ハイディの嗅覚	Heidi's Keen Sense of Smell	海蒂的嗅觉	海蒂的嗅覺
627	ヴァレリアの直感	Valeria's Intuition	瓦莱莉娅的直觉	瓦萊莉婭的直覺
628	捜索結果	Search Results	搜索结果	搜索結果
629	迫るタイムリミット	Time Is Running Out	最后一刻临近	迫近的時限
630	鴉の一声	Crow's Call	鸦的命令	烏鴉啼鳴
631	約束の刻限	Promised Deadline	约定时刻	約定時刻
632	まさに災害	True Calamity	与灾害无异	名副其實的災害
633	奥義とお守り	Secret Techniques and Charms	奥义和护身符	奧義與護身符
634	王と騎士	Queen and Knight	王与骑士	君主與騎士
635	王都を守れ！	Defend the Capital!	守护王都！	保護王都！
636	王都集結	Rally at the Capital	王都集结	王都集結
637	激戦の裏で	Behind the Fierce Battle	激战背后	激戰背後
638	戻った平穏、帰らなかった彼女	Peace Returned, but She Did Not	归于平静的生活和不归的她	回歸的和平，未歸的她
639	新たな発見	A New Discovery	新发现	新發現
640	爆弾娘たち	Bomberwomen	炸弹女孩们	炸彈女孩們
641	爆弾仕事は任せて！	Leave the Bombs to Me!	炸弹的工作交给我们！	爆破工作就交給我們吧！
642	壁の向こう	Beyond the Wall	墙的另一边	牆的另一端
643	いざ、爆弾調合！	Bomb Synthesis: Commence!	调合炸弹！	來吧，調合炸彈！
644	人造頂獣の力	Power of the Man-Made Apexi	人造顶兽的力量	人造頂獸的力量
645	ロロナ特製パイ爆弾！	Rorona's Special Pie Bomb!	萝乐娜秘制派炸弹！	蘿樂娜的特製派炸彈！
646	狩猟本能	Hunter's Instinct	狩猎本能	狩獵本能
647	人造頂獣を止めるには	Stopping the Man-Made Apexi	为了阻止人造顶兽	阻止人造頂獸的武器
648	服の性能	Capabilities of New Outfits	衣服的性能	服裝性能
649	爆破大作戦！	Explosive Plans!	爆炸大作战！	爆破大作戰！
650	匂いで誘う	Lured by a Scent	香气诱惑	氣味誘惑
651	退路を断つ	Cut off the Escape Route	堵住退路	斷絕退路
652	戦利品	Spoils of Battle	战利品	戰利品
653	染み付いた匂い	The Lingering Scent	沾上味道了	染上的氣味
654	平穏な時間	A Moment of Peace	平静时光	和平時光
655	錬金術への評価	Alchemy's Reputation	对炼金术的评价	對鍊金術的評價
656	ヴァレリアの行方	Searching for Valeria	瓦莱莉娅的下落	瓦萊莉婭的去向
657	緊急依頼のご指名	Specially Requested	点名要求的紧急委托	指名的緊急委託
658	事件の影響	Aftermath of the Incident	事件的影响	事件的影響
659	新たな武器	A New Weapon	新的武器	新武器
660	装備の力	Strength of Equipment	装备的力量	裝備的力量
661	錬金術によって救われた者	Those Saved by Alchemy	被炼金术拯救之人	被鍊金術拯救的人
662	気持ちを切り替えて	Shifting Mindsets	转换情绪	轉換心情
663	森の要塞	Fortress in the Forest	森林要塞	森林要塞
664	足元注意！	Watch Your Step!	当心脚下！	注意腳下！
665	ライザ先輩による冒険指南	Ryza's Expert Adventure Coaching	莱莎前辈的冒险指南	萊莎前輩的冒險指南
666	お団子	Sweet Dumplings	团子	糯米糰子
667	イザナの覚悟	Izana's Resolve	伊札娜的决心	伊札娜的決心
668	王国南西の端	Southwest Edge of the Kingdom	王国的西南角	王國西南的邊緣
669	落石の原因は？	What Caused the Rockslide?	落石的原因是？	落石的原因？
670	違和感	Something's Wrong	违和感	異樣
671	裏切り者	The Traitor	叛徒	叛徒
672	分かたれた道	Diverging Paths	分道扬镳	分道揚鑣
673	粛清	Purge	肃清	肅清
674	手負いの帰還	The Wounded Return	负伤而归	負傷而歸
675	彼女の事情	Her Circumstances	她的苦衷	她的苦衷
676	負の連鎖を断ちに	Ending the Chain of Misery	斩断负面连锁	斬斷惡性循環
677	再びの仕切り直し	Another Fresh Start	再一次重来	再次捲土重來
678	久しぶりの再会	Finally Reunited	久别重逢	久別重逢
679	近況報告	Status Report	近况报告	近況報告
680	峡谷の噂	Rumors of the Canyon	峡谷的流言	峽谷的傳聞
681	素直な気持ち	Genuine Feelings	真实的心情	真實的心意
682	お話しませんか？	Can We Talk?	能聊聊吗？	能不能跟我聊聊？
683	もう１つの伝承	Another Legend	另一个传说	另一個傳承
684	一歩ずつ	One Step at a Time	一步一个脚印	一步一步
685	尋ね人	Missing Person	苦寻之人	尋人
686	極夜に消ゆ	Vanishing into the Polar Night	消失于极夜	消失於極夜中
687	一方その頃	Meanwhile, Somewhere Else...	与此同时	與此同時
688	ドタバタトラベル	Chaotic Travels	手忙脚乱的旅行	手忙腳亂的旅行
689	手掛かりさえあれば	If Only We Had a Lead	有线索就好了	只要掌握到線索
690	お手柄ユーディー	Great Work, Judie!	优蒂立大功	功臣優蒂
691	まずは調査から	Start by Investigating	先从调查开始	先從調查著手
692	願いを込めて	Filled with Heart	带着心愿	懷著心願
693	経験の賜物	Wisdom through Experience	经验的成果	經驗的成果
694	お試し	Trial Run	尝试	嘗試
695	斥候の実力	A Scout's Skill	侦察兵的实力	斥候的實力
696	一度見た風景	Familiar Scenery	曾见过的风景	曾看過的風景
697	推測通り	Just as Predicted	推测正确	正如推測
698	「壺」	"""Vessels"""	“壶”	「壺」
699	引っかかる言葉	Lingering Words	在意的话语	不對勁的話語
700	いい知らせと悪い知らせ	The Good News and the Bad News	好消息和坏消息	好消息與壞消息
701	あの時見たもの	What Was Seen Back Then	那时看见的景象	那時所見之物
702	研究	Research	研究	研究
703	戦う理由	Why We Fight	战斗的理由	戰鬥的理由
704	再度の襲撃	Another Assault	再次袭来	再次的襲擊
705	最後の拠点	The Last Base	最后的据点	最後的據點
706	「錬金爵」	"""Seneschal of Alchemy"""	“炼金爵”	「鍊金爵」
707	極夜の錬金党のアトリエ	Polar Night Alchemist's Atelier	极夜的炼金党的工房	極夜的鍊金黨的鍊金工房
708	新たな同行者	A New Companion	新的同行者	新的旅伴
709	「喧嘩屋」	"""Brawl Master"""	“打架高手”	「打架專家」
710	不気味な森	The Eerie Forest	诡异的森林	詭異的森林
711	旅	Journey	旅途	旅行
712	師弟で友達で家族	Mentor, Friend, and Family	师徒、朋友和家人	既是師徒、朋友，也是家人
713	それぞれの戦い方	Different Styles of Fighting	各自的战斗方式	各自的戰鬥方式
714	沈黙の門番	The Silent Guardian	沉默寡言的守卫	沉默的守衛
715	餌付け作戦	Feeding Plan	投喂作战	餵食作戰
716	感激レスナ	Grateful Resna	感动的蕾斯娜	感激的蕾斯娜
717	極上の餌、完成！	Extra-Special Monster Food: Complete!	顶级饲料完成！	頂級飼料，完成！
718	フロッケの思い出	Flocke's Memories	芙洛可的回忆	芙洛可的回憶
719	家庭の味	A Taste of Home	家的味道	家常味
720	ララ・キングダムの民	The Kingdom of Lara's Citizens	拉拉王国的子民	拉拉王國的人民
721	マクダとブラッド	Magda and Brad	玛格达和布莱德	瑪格達與布萊德
722	問答無用！	No Point Arguing!	废话少说！	不必多說！
723	かわいい臣下たち	Adorable Vassals	可爱的臣子们	可愛的臣子們
724	避けられぬ戦い	Inevitable Battle	无法避免的战斗	無可避免的戰鬥
725	動揺	Unrest	动摇	心神不寧
726	罠と待ち伏せ	Traps and Ambushes	陷阱和埋伏	陷阱與埋伏
727	好きにはさせない	Not on My Watch	休想得逞	別想得逞
728	錬金釜の行方	Finding the Alchemy Cauldron	炼金釜的下落	鍊金釜的去向
729	破壊の象徴	Symbol of Destruction	破坏的象征	破壞的象徵
730	国のために、民のために	For the Kingdom, for the People	为国为民	為了國家，為了人民
731	ワルターという男	A Man Called Walther	瓦尔特这个男人	名為瓦爾特的男人
732	新たな協力者と懸念	New Allies and Concerns	新的帮手和担忧	新的合作者與擔憂
733	これまでとこれから	The Past and the Future	过去与未来	過往與今後
734	今やるべきこと	What Needs to Be Done	现在该做的事	現在該做的事
735	錬金術士たち	The Alchemists	炼金术士们	鍊金術士們
736	純粋と無法は紙一重	Innocence on the Edge of Lawlessness	纯粹和非法只有一纸之隔	單純與目無法紀僅一線之隔
737	目撃情報	Witness Reports	目击情报	目擊情報
738	全州踏破まであと一歩	Almost Across All Provinces	距离走遍所有州只差一步	離踏遍全州只差一步
739	同行依頼	A Call to Travel Together	同行委托	同行委託
740	ぬいぐるみの「彼ら」	The Stuffed Animals	娃娃朋友	「那群」娃娃
741	百折不撓	Unyielding Spirit	百折不挠	百折不撓
742	大陸の向こう、海の先	Beyond the Continent, Across the Sea	大陆彼岸，海洋那头	大陸的彼方，大海的彼端
743	友達切り込み隊長	Friendly Frontline Commander	朋友突击队长	朋友突擊隊長
744	ヨハナの中の光	Johanna's Inner Light	约翰娜心中的光	約翰娜心中的光芒
745	聞き込み調査	Asking Around	走访调查	打聽調查
746	救いの手	A Helping Hand	救赎之手	援手
747	演技練習	Practice Makes Perfect	表演练习	演戲練習
748	困ったときは	In Times of Need	遇到困难时	遇到困難時
749	大事な友達	Cherished Friends	重要的朋友	重要的朋友
750	演劇本番	Showtime	正式开演	正式演出
751	救うために	To Save	为了拯救	為了拯救
752	次こそは	Next Time, for Sure	下次一定	下次一定要
753	お互い様	Helping Each Other	彼此彼此	彼此彼此
754	弟子を想う気持ち	Caring for an Apprentice	关心徒弟的心情	為徒弟著想的心意
755	食事はみんなで	A Meal with Everyone	大家一起吃饭	吃飯就要大家一起
756	お似合いの居場所	A Place That Suits You	恰当的归宿	適合的安身之處
757	愛を込めて	With Love	满怀爱意	飽含心意
758	ごちそうさま	Full Appreciation	多谢款待	謝謝款待
759	告白	Confession	告白	告白
760	ヴァレリアを創った錬金術士	The Alchemist Who Created Valeria	创造瓦莱莉娅的炼金术士	創造出瓦萊莉婭的鍊金術士
761	仲間とともに	Together with Friends	和同伴们一起	與夥伴一起
762	おかえりとただいま	Welcome Home	迎接归来	歡迎回來與我回來了
763	人外の絆	Bonds Beyond Humanity	非人的牵绊	人類以外的情誼
764	ヴァレリアの記憶	Valeria's Memories	瓦莱莉娅的记忆	瓦萊莉婭的記憶
765	解放の足音	Footsteps of Liberation	解放的脚步声	解放的腳步聲
766	破壊された遺跡	Crumbling Ruins	被破坏的遗迹	被破壞的遺跡
767	来訪者	The Visitor	来访者	訪客
768	迎え	Interception	迎接	迎接
769	再びの要求	Renewed Demands	第二次要求	再次要求
770	住民たちの不安	Concerned Citizens	居民们的不安	居民們的不安
771	厄介な力	A Troubling Power	棘手的力量	棘手的力量
772	怯える魔物たち	Terrified Monsters	恐慌的魔物们	膽怯的魔物群
773	諦めない	Never Give Up	永不放弃	不放棄
774	束の間の休息	A Moment to Relax	短暂的休憩	短暫的休息
775	一家団らん	Family Field Trip	阖家团圆	一家團聚
776	運命なんて分からない	Unpredictable Fates	捉摸不透的命运	我才不懂什麼命運
777	挑戦状	Invitation to Battle	挑战书	挑戰書
778	クリセルダの覚悟	Criselda's Resolve	克莉赛尔达的决心	克莉賽爾達的決心
779	偵察報告	Scout Report	侦察报告	偵察報告
780	ふさわしい罰	A Fitting Punishment	合适的惩罚	相應的懲罰
781	恩返しの約束	A Promise of Repayment	报恩之约	報恩的約定
782	王たるもの	The Duty of Royalty	为王之道	身為君主
783	同じ空の下	Under the Same Sky	同一片天空下	同一片天空下
784	「閉ざさずの門」周辺			
785	敵情視察			
786	念入りに			
787	本格始動			
788	突入準備			
789	ブレない魅力			
790	心強い援軍			
791	大ゲンカ			
792	切り開かれた道へ			
793	決戦			
794	頂獣を超える力			
795	クリセルダの思惑			
796	それぞれの渇望			
797	戦いの結末			
798	依頼の報酬は			
799	第三者の影			
800	正体			
801	揺れる心			
802	世界の守護者たち			
803	力の差			
804	運命			
805	忘れない			
806	ヴァレリアの核			
807	焦り			
808	クリセルダは語る			
809	ランターナ大陸の歴史			
810	ザスキアの思惑			
811	頼もしい先輩方			
812	ヴァレリアの望み			
813	王と臣下			
814	隠していた本音			
815	王の度量			
816	仕立ての時間			
817	王にふさわしい装い			
818	涙の跡			
819	気を抜かずに進もう			
820	甘い味覚と苦い過去			
821	落ち着いている二人			
822	ララ・キングダム移住のすすめ			
823	環境を変えてみよう			
824	ヴァレリアという人			
825	消えた迷い			
826	レシピ完成！			
827	力を貸してもらえませんか？			
828	協力の意志			
829	小休止			
830	王国一の錬金術士			
831	「未知の素材」			
832	未開の遺跡			
833	絶対に大丈夫			
834	再会のための調合			
835	あなたの名前は			
836	大きすぎる喪失感			
837	難しい距離感			
838	「急がば回れ」			
839	謁見を終えて			
840	協力していただきたいんです			
841	ぎこちない二人			
842	「パルメ族」			
843	歩んできた道			
844	歩んでいく道			
845	巣立ち			
846	あなたの夢を聞かせて			
851	果てなき海の先へ！			
852	大海を進む			
853	もう１隻			
854	異邦人たちの不思議			
855	嵐の記憶			
856	一暴れよ！			
857	準備してきたこと			
858	残った二人			
859	仕組まれたものじゃない			
860	荒波を乗り越えて			
861	気分転換！			
862	月の下、船上の食卓			
863	錬金党それぞれの道			
864	上陸準備！			
865	トトリとミミ			
866	抑えられない好奇心			
867	ノーヴァ神聖国聖戦士			
868	海の頂獣の脅威			
869	嵐の襲来			
870	砲撃開始！			
871	海中から狙う影			
872	神聖国の知恵			
873	船乗りの機転			
874	因縁を断つ			
