id	name	name_en	name_zh-CN	name_zh-TW	fullname	fullname_en	fullname_zh-CN	fullname_zh-TW	another_name	another_name_en	another_name_zh-CN	another_name_zh-TW	description	description_en	description_zh-CN	description_zh-TW	acquisition_text	acquisition_text_en	acquisition_text_zh-CN	acquisition_text_zh-TW
29301	ウィルベル	Wilbell	薇尔贝儿	薇爾貝兒	ウィルベル・フォル＝エルスリート	Wilbell Voll-Ersleid	薇尔贝儿·沃·耶斯礼特	薇爾貝兒‧沃‧耶斯禮特	【Magical Trick Star】	Magical Trick Star	【Magical Trick Star】	【Magical Trick Star】	魔法使いの少女。\n尊敬する大婆様のような偉大な魔法使いを目指して、修行のために各地を旅している。\n元気で活発な性格だが、少し子どもっぽいところがあり、尊大な態度を取ってしまうことも。	A young witch. She journeys far and wide for her training, aiming to one day become a powerful magician just like her revered great-great grandmother. Full of vigor and zeal, she can sometimes be a little childish, and other times she takes on an air of grandeur.	魔法师少女。\n她的目标是成为像敬爱的曾祖母那样伟大的魔法师，为此正在各地游历修行。\n她性格活泼、朝气蓬勃，也有孩子气的地方，有时还有些骄傲自大。	魔法師少女。\n為了成為像自己尊敬的長老婆婆一樣偉大的魔法師，她走遍各地進行修行。\n性格充滿精力又活潑，但有些孩子氣，有時還會表現出高傲自大的態度。	あたしの力を借りたい？　……いいわよ！\nこの大魔法使いウィルベル様に任せなさい！	You seek my power? Very well!\nEntrust your needs to the Great Witch, Wilbell!	你需要我的帮助？可以！\n就包在我大魔法师薇尔贝儿大人身上吧！	想藉助我的力量？……好呀！\n就交給我這個大魔法師薇爾貝兒大人吧！
29302	ウィルベル	Wilbell	薇尔贝儿	薇爾貝兒	ウィルベル・フォル＝エルスリート	Wilbell Voll-Ersleid	薇尔贝儿·沃·耶斯礼特	薇爾貝兒‧沃‧耶斯禮特	【Witch in the dark】	Witch in the dark	【Witch in the dark】	【Witch in the dark】	大魔法使いを目指している少女。 \n尊大な態度を取ってしまいがちだが心根は優しく、天真爛漫で憎めない性格をしている。 \n魔法使いという身分を隠しているが、あえて魔法使いらしい格好をすることで怪しまれないようにしている。 \n闇夜に溶け込むようなこの衣装はまさに魔法使いにふさわしく、大変気に入っている。	A young witch who aspires to become a full-fledged Great Witch. She often takes on a haughty attitude, but she has a kind heart and a lovable, cheerful personality. Although she tries to hide her identity as a witch, she actually dresses like one to avoid suspicion. She is particularly fond of this outfit, which allows her to blend perfectly into the darkness—ideal for a witch.	志在成为大魔法师的少女。\n表面上待人态度傲慢，其实内心温柔，性格天真烂漫让人无法讨厌。\n隐藏了自己魔法师的身份，但为了避免被人怀疑故意打扮成魔法师的样子。\n犹如融入黑夜一般的装扮非常适合魔法师，得到了她的高度喜爱。	以大魔法師為目標的少女。\n雖然經常表現出高傲自大的態度，但本性溫柔且性格天真爛漫，讓人討厭不起來。\n雖然隱藏著魔法師的身分，卻刻意打扮得像魔法師來避免懷疑。\n這身能夠融入黑夜之中的服裝正適合魔法師，她十分中意。	潜入任務、ね。任せておきなさい！\nあたしの魔法で華麗に遂行してみせるわ！	An infiltration mission? Leave it to me! I'll light up the way to success with my magic!	潜入任务对吧。交给我吧！\n我会用魔法华丽地完成任务的！	潛入任務啊，包在我身上！\n我會用我的魔法華麗地完成任務的！
29401	レジナ	Regina	瑞吉娜	瑞吉娜	レジナ・カティス	Regina Kurtis	瑞吉娜·柯堤丝	瑞吉娜‧柯堤絲	【遺跡発掘屋】	Excavation Expert	【遗迹采矿工】	【遺跡採礦工】	腕利きの発掘屋。\nアーシャ、ニオ姉妹とは昔からの知り合い。二人にとって保護者のような存在で、よく行動を共にしている。\n面倒見がよくしっかり者。力仕事が得意な一方、家庭的な一面もあり、料理や裁縫はお手のもの。	A skilled excavation expert. An old acquaintance of Ayesha and her sister Nio, she acts as a sort of guardian to them, often accompanying them on their adventures. She is caring and dependable. While skilled in manual labor, she also has a homier side, excelling at cooking and sewing.	能干的采矿工。\n与爱夏和妮欧姐妹相识已久，对姐妹二人来说如同监护人一般，三人经常一起行动。\n为人可靠、善于照顾人。不仅擅长做体力工作，也很顾家，烹饪和针线活都不在话下。	技術高超的採礦工。\n和愛夏及妮歐姊妹是舊識。對她們兩人來說，她宛如監護人般的存在，經常一起同進同出。\n很會照顧人，相當可靠。不僅擅長體力活也有居家的一面，料理和縫紉都難不倒她。	任せといて！\nすんごいお宝、掘り当ててみせるから！	Just leave it to me!\nI'll uncover an incredible treasure, just you watch!	交给我吧！\n我会挖出不得了的宝物的！	交給我吧！\n我一定會挖出驚人的寶藏給你們瞧瞧的！
29501	リンカ	Linca	琳卡	琳卡	リンカ	Linca	琳卡	琳卡	【班長補佐】	Assistant Squad Leader	【组长辅佐】	【副組長】	純朴な剣士。\n幼い頃から訓練を受けて育った戦闘の達人。その腕を活かして、護衛などの仕事をしている。\n剣の腕は立つが、社会常識に乏しく生活能力は皆無であり、周囲から心配されがち。	A simple and honest swordswoman. She is an accomplished warrior and has been trained in the art of combat since childhood. She puts her training to good use by working as a bodyguard. While her sword skills are impressive, she lacks common sense and basic survival skills, often causing concern for those around her.	个性淳朴的剑士。\n自幼接受训练，是一位战斗能手。\n发挥一身的好本领从事护卫等工作。\n虽然剑术高强，但缺乏社会常识和生活自理能力，让身边的人担心。	個性純樸的劍士。\n自幼接受訓練的戰鬥高手。從事護衛等工作，發揮其一身的好本領。\n劍術高強但欠缺社會常識且無自理的能力，令周遭的人常為她憂心。	護衛ならば自分にお任せを。\n敵には指一本、触れさせません	If you're looking for a bodyguard, look no further.\nI won't let the enemy lay a finger on you.	护卫工作就交给我吧。\n我不会让敌人碰到你一根指头。	護衛的任務就交給我。\n我不會讓敵人動你一根汗毛。
29502	リンカ	Linca	琳卡	琳卡	リンカ	Linca	琳卡	琳卡	【Valkyrie of the Sun】	Valkyrie of the Sun	【Valkyrie of the Sun】	【Valkyrie of the Sun】	熟練の剣士。 \n卓越した戦闘技術を持っているため、マリオンなどから護衛をよく頼まれている。 \n生真面目で朴訥とした性格で、着飾るくらいなら裸のほうがましだという考えの持ち主。この鎧についても最初は抵抗があったようだが、機能性を体感してからはそこそこ気に入っている様子。	An experienced swordswoman. She has exceptional fighting skills and is often asked by Marion and others to serve as their bodyguard. She's serious and straightforward, and would rather wear nothing than dress up. At first she was reluctant to wear this armor, but after experiencing its functionality, she's come to appreciate it to a certain degree.	技艺纯熟的剑士。\n拥有出色的战斗技术，所以经常受玛丽翁等人所托执行护卫任务。\n生性死板，笨口拙舌，会认为比起费心打扮不如一丝不挂。一开始有些抗拒穿上这身铠甲，但实际感受过它的强大功能后还挺中意这个打扮的。	劍術純熟的劍士。\n具備卓越的戰鬥技術，經常受瑪麗翁等人委託擔任護衛。\n個性耿直樸實，認為與其花心思打扮還寧可裸體。起初似乎也很抗拒穿上這副鎧甲，但親身體會到它的功能性之後，看起來頗為喜歡的樣子。	任務ですか。はい、お任せを！\nえ？ この衣装を自分が……？	A new mission? Excellent, leave it to me! Huh? You want me to wear this outfit?	要出任务了啊，好，交给我吧！\n咦？我要穿这身衣服……？	任務嗎？好的，包在我身上！\n咦？要我穿這套服裝嗎……？
29601	ニオ	Nio	妮欧	妮歐	ニオ・アルトゥール	Nio Altugle	妮欧·阿图尔	妮歐‧阿圖爾	【チャーミングシスター】	Charming Sister	【迷人的妹妹】	【迷人的妹妹】	薬士見習いの少女。\n錬金術士アーシャの妹。普段は姉の手伝いをしたり、遠出して遺跡などの調査を行ったりしている。\nおっとりした姉と対照的にしっかりした性格だが、頑張りすぎてしまうところがあり、よく心配されている。	An apprentice apothecary. She is the younger sister of the alchemist Ayesha. She often spends her time helping her sister or heading out to investigate ruins. Unlike her light-hearted sister, Nio has a much more serious personality. This often leads her to work too hard and worry those around her.	见习药师少女。\n炼金术士爱夏的妹妹。平常会帮姐姐打下手，也会外出去调查遗迹等地。\n与慢性子的姐姐不同，做事利落可靠，但有时容易逞强，经常令周围的人担心。	見習藥師少女。\n是鍊金術士愛夏的妹妹。平時會幫姊姊的忙，也會出遠門調查遺跡。\n和文靜的姊姊不同，她性格穩重可靠，不過有時會因過度努力而經常讓旁人擔心。	わたしだって……おねーちゃんみたいに、\nみんなの役に立ちたい――！	I want to be useful to everyone...\nJust like my big sis!	我也想……像姐姐那样\n帮上大家的忙——！	我也想……\n像姊姊一樣幫上大家的忙──！
29701	マリオン	Marion	玛丽翁	瑪麗翁	マリオン・クィン	Marion Quinn	玛丽翁·昆恩	瑪麗翁‧昆恩	【開発班の班長】	Leader of the Development Squad	【开发组组长】	【開發組組長】	仕事人間の敏腕調査員。\nこの世界に住む「異邦人」の存在に興味を持ち、調査を行っている。\n真面目な気質で、仕事に対しては文句を言いつつもきっちり遂行する。逆境にめげない強い精神力を持つ。	"A talented investigator and a dedicated worker.\nShe is interested in the phenomenon of ""wanderers"" appearing in this world, and is currently investigating it. She often complains about her work, but she is a diligent worker who always completes her tasks.\nHer strong will helps her overcome any and all adversity."	优秀的调查员，是个工作狂。\n对生活在这个世界的“异邦人”颇感兴趣并展开调查。\n性格认真，尽管嘴上抱怨，还是会一丝不苟地完成工作。拥有不畏逆境的坚强意志力。	工作狂的幹練調查員。\n對居住在這個世界的「異邦人」甚感興趣，持續進行調查。\n個性耿直認真，對工作雖有抱怨卻仍使命必達。擁有不被逆境打敗的堅強心智。	また新しい仕事？\n……いいわよ。私に任せておきなさい！	Another new job?\nFine... Just leave it to me!	又有新工作了？\n……好吧，就交给我了！	又有新工作？\n……好啊，就交給我吧！
29702	マリオン	Marion	玛丽翁	瑪麗翁	マリオン・クィン	Marion Quinn	玛丽翁·昆恩	瑪麗翁‧昆恩	【Bullet of Ink】	Bullet of Ink	【Bullet of Ink】	【Bullet of Ink】	異邦人の調査を行う働き者。\nザスキアからアトリエの管理も任されている。\n高い事務処理能力と強い忍耐力を持ち合わせているが故に、仕事がひっきりなしに舞い込んでくる。\n書類のインクですぐ腕が汚れるので、アームカバー付きのこの服は都合が良いらしい。	A diligent worker who investigates wanderers. Saskia has also entrusted her with management of the atelier. Due to her strong administrative skills and constant perseverance, more and more work is always sent her way. Since her arms are always covered with ink from all the documents she works on, this outfit with arm covers has proven to be very practical for her.	在调查异邦人一事上非常努力。\n萨丝琪亚将炼金工房的管理也交给了她。\n因为她拥有高超的事务处理能力以及强大的忍耐力，所以工作总是不断找上门来。\n手臂经常被资料的墨水弄脏，所以这身有袖套的服装刚好迎合她的需求。	對異邦人進行調查的勤奮工作者，\n薩絲琪亞還把鍊金工房交由她管理。\n由於擁有高超的事務處理能力與強大的忍耐力，使工作源源不絕地找上門來。\n文件上的墨水容易弄髒手臂，因此這身附有袖套的衣服對她來說似乎很適合。	開発班のみんなに任せきりでもいけないわね\nここは私が一肌脱ぐわ！	I can't just leave everything to the development team. I need to step up and help!	总不能把事情全都丢给开发组的成员们。\n我也要助大家一臂之力！	可不能把事情全推給開發組的大家，\n我也來出一份力吧！
29801	オディーリア	Odelia	奥迪莉雅	奧迪莉雅	オディーリア	Odelia	奥迪莉雅	奧迪莉雅	【古の機械人形】	Ancient Machina Doll	【古老的机械人偶】	【古老的機械人偶】	遥か昔の時代に作られた高性能オートマタ。\nかつてはある錬金術士の助手として旅をしていたが、現在は単独行動中。\n基本的に感情表現が乏しいが、甘いものには目がなく、強い執着を見せることも。	A high-performance automaton created in ancient times. She once worked as an assistant to a certain alchemist, but now travels on her own. She may not display much emotion, but she loves sweets and can show a strong attachment to them.	制造于远古时代的高性能自动人偶。\n曾担任某位炼金术士的助手并与他一同旅行，现在正单独行动。\n基本上缺乏感情表达能力，但是十分喜爱甜食，偶尔会对甜食展现出强烈的渴求。	於遠古時代製造的高性能自動人偶。\n曾擔任某鍊金術士的助手並一同旅行，但現在單獨行動中。\n基本上缺乏情感的表達能力，但特別喜愛甜食，偶爾會表現出強烈的執著。	ご用があればなんなりとお申し付けを。\n私は一流のオートマタですから	Do let me know if I can be of any assistance.\nI'm a top-of-the-line automata, after all.	无论何事都请尽管吩咐。\n我可是一流的自动人偶。	有任何需求請儘管吩咐。\n我可是一流的自動人偶。
29901	キースグリフ	Keithgriff	奇斯葛里夫	奇斯葛里夫	キースグリフ・ヘーゼルダイン	Keithgriff Hazeldine	奇斯葛里夫·赫瑟达因	奇斯葛里夫‧赫瑟達因	【知識の探究者】	Seeker of Knowledge	【知识探究者】	【知識探究者】	真理を追い求める錬金術士。\nランターナ大陸の錬金術に関わる歴史に興味を持ち、各地で調査を行っている。実力は確かだが、少々手段が荒っぽいところがある。\n自ら探究する者を好み、安易に答えを求める者には見向きもしない。	An alchemist in pursuit of truth.\nHe is interested in the history of alchemy on the continent of Lantarna and is conducting research in various regions. He is a skilled alchemist, but his techniques are a little rough.\nHe prefers people who seek answers on their own and has no time for those who look for easy solutions.	追求真理的炼金术士。\n因为想了解炼金术在兰塔纳大陆发展的历史，在各地进行着调查。虽然实力毋庸置疑，但是行事手段有时略显粗暴。\n欣赏主动探求事物之人，对想要不费力气获得答案之人不屑一顾。	追求真理的鍊金術士\n對蘭塔納大陸的鍊金術相關歷史甚感興趣，於各地進行調查。極具實力，但手段時而略顯粗暴。\n喜歡會主動追求真理的人，對那些想要毫不費力獲得答案的人不屑一顧。	付いてくるなら好きにしろ。\nオレはオレ自身の目的を果たすだけだ	Come along, or don't—it makes no difference to me.\nI've got my own business that needs handling.	想跟过来的话随你便。\n我只想达成我的目的而已。	想跟就跟吧。\n我只會完成我自己的目的。
30901	エスカ	Escha	爱丝卡	愛絲卡	エスカ・メーリエ	Escha Malier	爱丝卡·梅莉耶	愛絲卡‧梅莉耶	【エンドレスタルト】	Endless Tarts	【无限挞饼】	【吃不完的塔】	明るくひたむきな錬金術士。\n以前は役人として未開地の調査事業を行っていた。今もかつての同僚たちと共に、大陸各地を飛び回っている。\n礼儀正しく、何事にも一生懸命な努力家。錬金術で人々を幸せにしたいという夢を持つ。	A bright and earnest alchemist.\nShe used to work as a government official, conducting research projects in undeveloped areas. Currently, she travels around the continent with her former colleagues.\nShe is polite and diligent in everything she does. Her dream is to make people happy using alchemy.	乐观坚定的炼金术士。\n曾是一名公务员，负责未开拓地区的调查工作。现在与昔日的同僚奔波于大陆各地。\n待人有礼，勤恳努力，凡事都会全力以赴。梦想是通过炼金术让大家获得幸福。	開朗且堅毅的鍊金術士。\n公務員時代負責未開發地的調查工作。現在與昔日的同僚奔波於大陸的各個角落。\n平時很有禮貌，是一個凡事都竭盡全力、勤奮努力的人。夢想是用鍊金術讓人們獲得幸福。	わたしの力が役に立つなら！\nぜひ、連れて行ってください――！	If you think my abilities can be of any help,\nplease take me along with you!	希望我的力量能帮到你！\n请务必带我一起去——！	如果我能幫上忙的話，\n請務必帶我一起走──！
30902	エスカ	Escha	爱丝卡	愛絲卡	エスカ・メーリエ	Escha Malier	爱丝卡·梅莉耶	愛絲卡‧梅莉耶	【Sweet Monochrome】	Sweet Monochrome	【Sweet Monochrome】	【Sweet Monochrome】	明るくひたむきな錬金術士。\nランターナ王国では毎年、大切な人にチョコレートを贈る「リンデ祭」という催しが行われている。エスカはお菓子作りの腕を買われ、その盛り上げ役に任命された。\nその役目にふさわしい衣装を身に纏い、リンデ祭に向けて彼女の奮闘が始まる。自分自身も大切な人にチョコを届けるために。	A cheerful and earnest alchemist. In the Kingdom of Lantarna, there's an annual event called the Linde Festival, where people gift chocolates to their loved ones. Escha has been selected to liven up the event, chosen for her experience in making treats. Dressed in an outfit perfect for the occasion, she begins her efforts to spice up the Linde Festival. She's also planning to give her own chocolates to someone very special!	乐观坚定的炼金术士。\n兰塔纳王国每年都会举办“林德节”活动，在这个日子，人们会向珍视之人赠送巧克力。爱丝卡因为制作点心的手艺高超，被任命负责给活动增光添彩。\n穿上与这一任务相称的服装，她开始为林德节而奋斗。借此机会她也想向自己珍视之人送上巧克力。	既開朗又認真的鍊金術士。\n蘭塔納王國每年都會舉行贈送巧克力給意中人的慶典「菩提樹祭」，擁有高超烘焙手腕的愛絲卡便扛下了炒熱氣氛的重責大任。\n為了送巧克力給對自己來說很重要的人，她穿上符合慶典氣氛的服飾展開奮鬥。	おかえりなさいませ、ご主人様！\n……こ、こんな感じでしょうか	Welcome home, Master!\nH-How was that? Am I doing it right?	主人，欢迎回家！\n是……是这样没错吧？	主人，歡迎回來！\n是……是這種感覺嗎？
30903	エスカ	Escha	爱丝卡	愛絲卡	エスカ・メーリエ	Escha Malier	爱丝卡·梅莉耶	愛絲卡‧梅莉耶	【Challenging Worker】	Challenging Worker	【Challenging Worker】	【Challenging Worker】	健気で頑張り屋な錬金術士。\n元の世界では役人で、マリオンの部下だった。\n今でも何かとマリオンから頼みごとをされることが多い。\n書類仕事は苦手だが、マリオンが用意してくれたこの服を着ている時はいつもより少しは捗るとのこと。	A hardworking and earnest alchemist. In her original world, she was a government official working under Marion. Even now, Marion often asks her for help. She is not very good at paperwork, but she finds that she gets more of it done than usual when she wears this outfit that Marion prepared for her.	坚毅勇敢又十分努力的炼金术士。\n在原本的世界，是在玛丽翁手下做事的公务员。\n如今不知为何大部分时候还是在帮玛丽翁做事。\n穿上玛丽翁准备的衣服后，连自己不擅长的文书工作都变得比平时得心应手了起来。	堅強勇敢又努力的鍊金術士。\n在原本的世界是一名官員，且為瑪麗翁的部下。\n直到現在，瑪麗翁還是會經常拜託她處理一些事情。\n不擅長文書工作，但她說穿著瑪麗翁為她準備的這套衣服時，會進行得比平常更得心應手。	お仕事のご依頼ですか？\nはい！ わたしにぜひお任せください！	A job request? Of course! Just leave it to me!	有工作想委托吗？\n好的！请一定要交给我！	工作委託嗎？\n好的！請務必交給我來做！
31001	ロジー	Logy	罗吉	羅吉	ロジックス・フィクサリオ	Logix Ficsario	罗吉克斯·菲克萨立欧	羅吉克斯‧菲克薩立歐	【黄昏の錬金剣】	Alchemist of Dusk	【黄昏的炼金剑】	【黃昏鍊金劍】	優しく世話焼きな錬金術士。\n剣術と錬金術を組み合わせる「錬金剣」の使い手。この世界にある未踏の地に興味を持ち、各地を旅している。\n一見クールに見えて、心の中には熱い夢を抱いている。	"A kind and caring alchemist.\nHe is a user of the ""Alchemic Sword"", which is a combination of swordsmanship and alchemy. He travels the world, interested in all unexplored regions.\nHe may come across as aloof, but a passionate dream burns inside his heart."	温柔热心的炼金术士。\n擅长使用剑术与炼金术相结合的“炼金剑”。对这个世界上人迹未至的地区深感兴趣而四处云游。\n看似冷淡，实则心怀炽热的梦想。	待人和善且樂於助人的鍊金術士。\n擅長使用結合了劍術與鍊金術的「鍊金劍」，對這世界上的無人之境甚感興趣，於各地旅行。\n乍看之下態度冷靜，內心卻懷抱著雄心壯志。	ここで会えたのも何かの縁だ。\nお前の夢、俺にも手伝わせてくれ	Our meeting here must be destiny.\nLet me help you in achieving your dreams.	在这里相遇也是一种缘分。\n让我也来帮你实现梦想吧。	能在這裡相遇也是一種緣份，\n讓我幫你實現夢想吧。
31002	ロジー	Logy	罗吉	羅吉	ロジックス・フィクサリオ	Logix Ficsario	罗吉克斯·菲克萨立欧	羅吉克斯‧菲克薩立歐	【トワイライトオーダー】	Twilight Order	【黄昏骑士团】	【黃昏騎士團】	優しく世話焼きな錬金術士。\nこの世界にある未踏の地に興味を持ち、その障害となっている頂獣について調査をしている。その過程で王国騎士に協力することとなり、自身も騎士のような衣装を纏った。\nユナの騎士道に感銘を受け、自らも人々のために戦う決意を固めている。	A kindhearted and caring alchemist.\nHe is interested in the unexplored territories of this world and is investigating the Apexi that plague them. In the process, he ends up assisting the Royal Knights, donning an outfit similar to their own.\nImpressed by Juna's chivalry, he has resolved to fight for the people.	爱关心人的温柔炼金术士。\n对这个世界的无人踏足之地很有兴趣，正在调查碍事的顶兽。在调查过程中决定与王国骑士联手，自己也穿上了骑士的装束。\n为尤娜的骑士精神深受感动，自己也下定决心要为他人而战。	待人和善且樂於助人的鍊金術士。\n對這世界上的無人之境甚感興趣，因此正在調查阻礙路途的頂獸。在過程中與王國騎士攜手互助，自己也穿上了宛如騎士般的服裝。\n他被尤娜的騎士道深深打動，下定決心也要為人們而戰。	夢に向かってまっすぐ進む―― \n俺は、そんな人の助けになってやりたいんだ	I want to support those who journey directly toward their dreams.	朝着梦想笔直迈进的人——\n我想帮助那类人。	我想替朝夢想勇往直前的人──\n助上一臂之力。
32201	シャリステラ	Shallistera	夏莉丝堤拉	夏莉絲堤菈	シャリステラ	Shallistera	夏莉丝堤拉	夏莉絲堤菈	【族長の娘】	Chief's Daughter	【族长之女】	【族長之女】	一族の使命を背負う錬金術士。\nこの大陸で起きたマナの枯渇と、水涸れに見舞われた故郷の状況を重ね、故郷を救う手掛かりを求めて旅をしている。\n責任感が強く、健気で一生懸命な性格。少し頑固な面を見せることも。	An alchemist on a mission for her family.\nThe mana shortage on this continent seems to be similar to the situation in her hometown, which is experiencing a water shortage, and she is traveling to find clues that will save her hometown.\nShe is responsible, courageous, and hard-working, though she can sometimes be a bit stubborn.	肩负着家族使命的炼金术士。\n意识到这片大陆上发生的玛那枯竭现象与故乡面临的水源干涸有相似之处，为寻求拯救故乡的办法而踏上旅程。\n拥有很强的责任感，性格坚强，总是全力以赴，有时也会展现出顽固的一面。	背負全族使命的鍊金術士。\n眼看這大陸上的瑪那枯竭，故鄉飽受乾旱之苦，展開了拯救故鄉之旅。\n責任感很強，個性堅強努力，有時會展現出稍微固執的一面。	あなたの夢――\nわたしにも手伝わせてください！	Your dreams...\nLet me help you make them all come true!	请让我也来\n帮你实现梦想！	請讓我──\n幫你實現夢想吧！
32202	シャリステラ	Shallistera	夏莉丝堤拉	夏莉絲堤菈	シャリステラ	Shallistera	夏莉丝堤拉	夏莉絲堤菈	【スクールメイデン】	School Maiden	【学院的少女】	【校園少女】	一族の使命を背負う錬金術士。 \n同じく錬金術士のシャルロッテとは、元の世界で苦楽を共にしてきた親友同士。この服装も彼女に合わせたコーディネート。 \nこちらの世界でも親友と一緒に冒険できることに心を躍らせている。	An alchemist on an important mission from her village. She's best friends with Shallotte, another alchemist, and together they've faced many challenges in their world. This outfit was chosen to complement Shallotte's. She's excited about the idea of going on adventures with her best friend in this new world.	背负家族使命的炼金术士。\n在原来的世界中，她与同为炼金术士的夏露罗蒂是长期同甘共苦的挚友。这身衣服也是按照夏露罗蒂的衣服搭配而成的。\n在这个世界也能与挚友一起冒险，所以内心十分雀跃。	背負一族使命的鍊金術士。\n與同為鍊金術士的夏露羅蒂是在原本的世界同甘共苦的摯友。\n這身服裝也是配合她的穿搭。\n在這個世界也能與摯友一起冒險，這讓她期待不已。	に、似合うかな？ \n……ふふ、ありがと。じゃあ、行こ！	Y-You think this suits me?\nEhehe, thanks. Come on, let's go!	我、我穿成这样好看吗？\n……呵呵，谢谢你。那我们走吧！	適、適合我嗎？\n……呵呵，謝謝。那麼，走吧！
32301	シャルロッテ	Shallotte	夏露罗蒂	夏露羅蒂	シャルロッテ・エルミナス	Shallotte Elminus	夏露罗蒂·艾尔蜜娜思	夏露羅蒂‧艾爾蜜娜思	【ガールズアンビシャス】	Girls' Ambition	【少女的野心】	【野心勃勃的女孩】	大いなる野望を抱く錬金術士。\n故郷のステラードでシャリステラと出会い、共に過ごす中で親友同士となる。この世界で何か大きなことを成し遂げてやろうという野望を持っている。\n性格は明るく元気いっぱいだが、後先考えずに行動して暴走してしまうことも。	An alchemist with grand ambitions. She met Shallistera in her hometown of Stellard, and they became best friends while spending time together. She's driven by the desire to accomplish something great in this world. While she's always cheerful and energetic, her impulsiveness sometimes leads her into trouble.	野心勃勃的炼金术士。\n在故乡斯特拉多遇见了夏莉丝堤拉，在相处过程中与她成为了挚友。怀抱着野心，想在这个世界中成就一番伟业。\n活泼开朗，但也会因为莽撞行动而失控。	懷抱巨大野心的鍊金術士。\n於故鄉斯特拉多與夏莉絲堤菈相遇，兩人在共同生活中成了摯友。\n懷抱著要在這個世界成就一番大事的野心。\n個性開朗充滿活力，但也有時也會因不考慮後果而魯莽行事。	ん？　もしかしてあたしの出番？ \nついに来たね！　あたしの時代が！	Hmm? It's my turn?\nFinally my time to shine!	嗯？莫非到了我出场的时候？\n我的时代终于来临了！	嗯？難道說該我出場了？ \n我的時代終於到來了呢！
33001	ナディ	Nady	娜蒂	娜蒂	ナディ・エルミナス	Nady Elminus	娜蒂·艾尔蜜娜思	娜蒂‧艾爾蜜娜思	【微笑みの母】	Smiling Mother	【微笑的母亲】	【微笑的母親】	シャルロッテの母親。 \n普段は娘の生活を陰ながら支えているが、時には自ら冒険に飛び出していくことも。 \n優しく娘思いで、シャルロッテのことを誰よりも信じている。おっとりとした雰囲気だが、意外と度胸が据わっている。	Shallotte's mother. She's usually the quiet support behind her daughter, but every now and then she embarks on an adventure of her own. She's incredibly kind and always puts Shallotte first, showing unwavering faith in her daughter. Despite her calm and collected exterior, she's surprisingly courageous.	夏露罗蒂的母亲。\n平时会默默支持女儿的生活，偶尔也会自己去冒险。\n温柔体贴，关心女儿，是最信任夏露罗蒂的人。平时是个慢性子，也有大胆无畏的一面。	夏露羅蒂的母親。 \n平時默默地支持著女兒的生活，但有時也會自己跑出去冒險。 \n溫柔地為女兒著想，比任何人都相信夏露羅蒂。給人一種文靜穩重的感覺，卻意外地大膽。				
33401	ソフィー	Sophie	苏菲	蘇菲	ソフィー・ノイエンミュラー	Sophie Neuenmuller	苏菲·诺伊恩缪拉	蘇菲‧諾伊恩繆拉	【百科繚乱フロネシス】	Profuse Phronesis	【百科缭乱的智者】	【百科繚亂實踐智慧】	天真爛漫な錬金術士。\n錬金術を人のために使いたいという想いを持ち、各地を巡りながら錬金術で人助けをしている。\n明るくほわっとした性格で周囲を和ませる。私生活はずぼらなところが多く、特に掃除は大の苦手。	A somewhat childish alchemist. Determined to help others through alchemy, she journeys far and wide, assisting those she comes across. Her sunny disposition puts people around her at ease, but she is rather sloppy when it comes to her own personal space. If she can turn a blind eye to whatever cleaning needs to be done, she will.	天真烂漫的炼金术士。\n她认为炼金术应当为人们带来便利，游历各地用炼金术帮助人们。\n性格开朗温和，如春风拂面。私底下有些懒散，尤其不擅长打扫。	天真爛漫的鍊金術士。\n抱持著鍊金術應該用在他人身上的想法，而四處旅行以鍊金術助人。\n開朗隨和的性格使得周遭的人都和樂融融。私底下經常表現出懶散的一面，特別不擅長打掃。	あなたが叶えたい願い、あたしに聞かせて！	Tell me what your wildest dreams are!	给我讲讲你想实现的愿望吧！	說說看你想實現什麼願望吧！
