id	description	description_en	description_zh-CN	description_zh-TW	popup_text	popup_text_en	popup_text_zh-CN	popup_text_zh-TW
6000799	得意属性が雷属性かつブレイカーの時、全体攻撃のブレイクダメージアップ	得意属性が雷属性かつブレイカーの時、全体攻撃のブレイクダメージアップ	得意属性が雷属性かつブレイカーの時、全体攻撃のブレイクダメージアップ	得意属性が雷属性かつブレイカーの時、全体攻撃のブレイクダメージアップ				
6000800	得意属性が雷属性かつブレイカーの時、与えるマイナス効果量アップ	得意属性が雷属性かつブレイカーの時、与えるマイナス効果量アップ	得意属性が雷属性かつブレイカーの時、与えるマイナス効果量アップ	得意属性が雷属性かつブレイカーの時、与えるマイナス効果量アップ				
6000801	得意属性が雷属性かつブレイカーの時、与える強化効果量アップ	得意属性が雷属性かつブレイカーの時、与える強化効果量アップ	得意属性が雷属性かつブレイカーの時、与える強化効果量アップ	得意属性が雷属性かつブレイカーの時、与える強化効果量アップ				
6000802	得意属性が氷属性かつWEAK攻撃時、スキルダメージアップ	得意属性が氷属性かつWEAK攻撃時、スキルダメージアップ	得意属性が氷属性かつWEAK攻撃時、スキルダメージアップ	得意属性が氷属性かつWEAK攻撃時、スキルダメージアップ				
6000803	得意属性が氷属性かつアタッカーの時、パーティの誰かが戦闘アイテム使用後、自身に「スキルダメージアップ」を1回行動終了するまで付与<br>※アイテムを複数同時に使用しても発動は1回	得意属性が氷属性かつアタッカーの時、パーティの誰かが戦闘アイテム使用後、自身に「スキルダメージアップ」を1回行動終了するまで付与<br>※アイテムを複数同時に使用しても発動は1回	得意属性が氷属性かつアタッカーの時、パーティの誰かが戦闘アイテム使用後、自身に「スキルダメージアップ」を1回行動終了するまで付与<br>※アイテムを複数同時に使用しても発動は1回	得意属性が氷属性かつアタッカーの時、パーティの誰かが戦闘アイテム使用後、自身に「スキルダメージアップ」を1回行動終了するまで付与<br>※アイテムを複数同時に使用しても発動は1回				
6000804	得意属性が氷属性かつアタッカーの時、全体攻撃のスキルダメージアップ	得意属性が氷属性かつアタッカーの時、全体攻撃のスキルダメージアップ	得意属性が氷属性かつアタッカーの時、全体攻撃のスキルダメージアップ	得意属性が氷属性かつアタッカーの時、全体攻撃のスキルダメージアップ				
6000805	得意属性が雷属性かつアタッカーの時、スキルダメージアップ	得意属性が雷属性かつアタッカーの時、スキルダメージアップ	得意属性が雷属性かつアタッカーの時、スキルダメージアップ	得意属性が雷属性かつアタッカーの時、スキルダメージアップ				
6000806	「家族と友情」の味方全員の魔攻上昇	「家族と友情」の味方全員の魔攻上昇	「家族と友情」の味方全員の魔攻上昇	「家族と友情」の味方全員の魔攻上昇				
6000807	得意属性が雷属性かつアタッカーの時、受ける強化効果量アップ	得意属性が雷属性かつアタッカーの時、受ける強化効果量アップ	得意属性が雷属性かつアタッカーの時、受ける強化効果量アップ	得意属性が雷属性かつアタッカーの時、受ける強化効果量アップ				
6000808	得意属性が雷属性かつアタッカーの時、バーストスキルダメージアップ	得意属性が雷属性かつアタッカーの時、バーストスキルダメージアップ	得意属性が雷属性かつアタッカーの時、バーストスキルダメージアップ	得意属性が雷属性かつアタッカーの時、バーストスキルダメージアップ				
6000809	得意属性が雷属性かつアタッカーの時、スキル発動後、対象に「受けるクリティカルダメージアップ」を2回攻撃を受けるまで付与	得意属性が雷属性かつアタッカーの時、スキル発動後、対象に「受けるクリティカルダメージアップ」を2回攻撃を受けるまで付与	得意属性が雷属性かつアタッカーの時、スキル発動後、対象に「受けるクリティカルダメージアップ」を2回攻撃を受けるまで付与	得意属性が雷属性かつアタッカーの時、スキル発動後、対象に「受けるクリティカルダメージアップ」を2回攻撃を受けるまで付与				
6000810	WEAK攻撃後、自身に「受けるダメージダウン」を付与(上限10%)	WEAK攻撃後、自身に「受けるダメージダウン」を付与(上限10%)	WEAK攻撃後、自身に「受けるダメージダウン」を付与(上限10%)	WEAK攻撃後、自身に「受けるダメージダウン」を付与(上限10%)				
6000811	WEAK攻撃後、自身に「受けるダメージダウン」を付与(上限5%)	WEAK攻撃後、自身に「受けるダメージダウン」を付与(上限5%)	WEAK攻撃後、自身に「受けるダメージダウン」を付与(上限5%)	WEAK攻撃後、自身に「受けるダメージダウン」を付与(上限5%)				
6000812	自身がサポーターの時、与える強化効果量アップ	自身がサポーターの時、与える強化効果量アップ	自身がサポーターの時、与える強化効果量アップ	自身がサポーターの時、与える強化効果量アップ				
6000813	自身がサポーターの時、味方全員の魔法攻撃スキルダメージアップ	自身がサポーターの時、味方全員の魔法攻撃スキルダメージアップ	自身がサポーターの時、味方全員の魔法攻撃スキルダメージアップ	自身がサポーターの時、味方全員の魔法攻撃スキルダメージアップ				
6000814	得意属性が氷属性かつブレイカーの時、ブレイクダメージアップ	得意属性が氷属性かつブレイカーの時、ブレイクダメージアップ	得意属性が氷属性かつブレイカーの時、ブレイクダメージアップ	得意属性が氷属性かつブレイカーの時、ブレイクダメージアップ				
6000815	「商人」の味方全員の魔攻上昇	「商人」の味方全員の魔攻上昇	「商人」の味方全員の魔攻上昇	「商人」の味方全員の魔攻上昇				
6000816	得意属性が氷属性かつブレイカーの時、全体攻撃のブレイクダメージアップ	得意属性が氷属性かつブレイカーの時、全体攻撃のブレイクダメージアップ	得意属性が氷属性かつブレイカーの時、全体攻撃のブレイクダメージアップ	得意属性が氷属性かつブレイカーの時、全体攻撃のブレイクダメージアップ				
6000817	得意属性が氷属性かつブレイカーの時、与えるマイナス効果量アップ	得意属性が氷属性かつブレイカーの時、与えるマイナス効果量アップ	得意属性が氷属性かつブレイカーの時、与えるマイナス効果量アップ	得意属性が氷属性かつブレイカーの時、与えるマイナス効果量アップ				
6000818	得意属性が氷属性かつ攻撃対象がブレイク時、味方全員に「魔攻アップ」を1回行動終了するまで付与	得意属性が氷属性かつ攻撃対象がブレイク時、味方全員に「魔攻アップ」を1回行動終了するまで付与	得意属性が氷属性かつ攻撃対象がブレイク時、味方全員に「魔攻アップ」を1回行動終了するまで付与	得意属性が氷属性かつ攻撃対象がブレイク時、味方全員に「魔攻アップ」を1回行動終了するまで付与				
6000819	味方全員に「アタッカーの時、スキルダメージアップ」を1回付与	味方全員に「アタッカーの時、スキルダメージアップ」を1回付与	味方全員に「アタッカーの時、スキルダメージアップ」を1回付与	味方全員に「アタッカーの時、スキルダメージアップ」を1回付与				
6000820	味方全員に「ブレイカーの時、ブレイクダメージアップ」を1回付与	味方全員に「ブレイカーの時、ブレイクダメージアップ」を1回付与	味方全員に「ブレイカーの時、ブレイクダメージアップ」を1回付与	味方全員に「ブレイカーの時、ブレイクダメージアップ」を1回付与				
6000821	味方全員の「回復無効」を解除	味方全員の「回復無効」を解除	味方全員の「回復無効」を解除	味方全員の「回復無効」を解除				
6000822	敵全体に「受ける氷属性ダメージアップ」を2回攻撃を受けるまで付与	敵全体に「受ける氷属性ダメージアップ」を2回攻撃を受けるまで付与	敵全体に「受ける氷属性ダメージアップ」を2回攻撃を受けるまで付与	敵全体に「受ける氷属性ダメージアップ」を2回攻撃を受けるまで付与				
6000823	得意属性が斬属性の時、与えるマイナス効果量アップ	得意属性が斬属性の時、与えるマイナス効果量アップ	得意属性が斬属性の時、与えるマイナス効果量アップ	得意属性が斬属性の時、与えるマイナス効果量アップ				
6000824	得意属性が斬属性かつアタッカーの時、与えるマイナス効果量アップ	得意属性が斬属性かつアタッカーの時、与えるマイナス効果量アップ	得意属性が斬属性かつアタッカーの時、与えるマイナス効果量アップ	得意属性が斬属性かつアタッカーの時、与えるマイナス効果量アップ				
6000825	得意属性が斬属性かつアタッカーの時カウンター攻撃を受ける時、低確率で回避する	得意属性が斬属性かつアタッカーの時カウンター攻撃を受ける時、低確率で回避する	得意属性が斬属性かつアタッカーの時カウンター攻撃を受ける時、低確率で回避する	得意属性が斬属性かつアタッカーの時カウンター攻撃を受ける時、低確率で回避する				
6000826	得意属性が斬属性かつアタッカーの時、 バーストスキルダメージアップ	得意属性が斬属性かつアタッカーの時、 バーストスキルダメージアップ	得意属性が斬属性かつアタッカーの時、 バーストスキルダメージアップ	得意属性が斬属性かつアタッカーの時、 バーストスキルダメージアップ				
6000827	得意属性が氷属性かつサポーターの時、味方全員の受けるダメージダウン	得意属性が氷属性かつサポーターの時、味方全員の受けるダメージダウン	得意属性が氷属性かつサポーターの時、味方全員の受けるダメージダウン	得意属性が氷属性かつサポーターの時、味方全員の受けるダメージダウン				
6000828	得意属性が氷属性かつサポーターの時、味方全員の強化系パネルから受ける効果量アップ	得意属性が氷属性かつサポーターの時、味方全員の強化系パネルから受ける効果量アップ	得意属性が氷属性かつサポーターの時、味方全員の強化系パネルから受ける効果量アップ	得意属性が氷属性かつサポーターの時、味方全員の強化系パネルから受ける効果量アップ				
6000829	自身がサポーターの時、バーストスキル使用後、アイテムゲージを回復	自身がサポーターの時、バーストスキル使用後、アイテムゲージを回復	自身がサポーターの時、バーストスキル使用後、アイテムゲージを回復	自身がサポーターの時、バーストスキル使用後、アイテムゲージを回復				
6000830	得意属性が氷属性かつサポーターの時、バーストスキル使用後、アイテムゲージを回復	得意属性が氷属性かつサポーターの時、バーストスキル使用後、アイテムゲージを回復	得意属性が氷属性かつサポーターの時、バーストスキル使用後、アイテムゲージを回復	得意属性が氷属性かつサポーターの時、バーストスキル使用後、アイテムゲージを回復				
6000831	得意属性が火属性の時、味方全員のスキルダメージアップ	得意属性が火属性の時、味方全員のスキルダメージアップ	得意属性が火属性の時、味方全員のスキルダメージアップ	得意属性が火属性の時、味方全員のスキルダメージアップ				
6000832	「「声」を聴く者たち」の味方全員の魔攻上昇	「「声」を聴く者たち」の味方全員の魔攻上昇	「「声」を聴く者たち」の味方全員の魔攻上昇	「「声」を聴く者たち」の味方全員の魔攻上昇				
6000833	自身がディフェンダーの時、受けるダメージダウン	自身がディフェンダーの時、受けるダメージダウン	自身がディフェンダーの時、受けるダメージダウン	自身がディフェンダーの時、受けるダメージダウン				
6000834	「天然」の味方全員の魔防上昇	「天然」の味方全員の魔防上昇	「天然」の味方全員の魔防上昇	「天然」の味方全員の魔防上昇				
6000835	得意属性が火属性の時、味方全員のスキルダメージアップ	得意属性が火属性の時、味方全員のスキルダメージアップ	得意属性が火属性の時、味方全員のスキルダメージアップ	得意属性が火属性の時、味方全員のスキルダメージアップ				
6000836	得意属性が火属性かつサポーターの時、味方全員のスキルダメージアップ	得意属性が火属性かつサポーターの時、味方全員のスキルダメージアップ	得意属性が火属性かつサポーターの時、味方全員のスキルダメージアップ	得意属性が火属性かつサポーターの時、味方全員のスキルダメージアップ				
6000837	得意属性が火属性の時、与える強化効果量アップ	得意属性が火属性の時、与える強化効果量アップ	得意属性が火属性の時、与える強化効果量アップ	得意属性が火属性の時、与える強化効果量アップ				
6000838	自身がサポーターの時、スキル発動後、味方全員に「火属性スキルダメージアップ」を1回行動終了するまで付与	自身がサポーターの時、スキル発動後、味方全員に「火属性スキルダメージアップ」を1回行動終了するまで付与	自身がサポーターの時、スキル発動後、味方全員に「火属性スキルダメージアップ」を1回行動終了するまで付与	自身がサポーターの時、スキル発動後、味方全員に「火属性スキルダメージアップ」を1回行動終了するまで付与				
6000839	得意属性が氷属性かつディフェンダーの時、スキル発動後、自身に「魔防アップ」を2回攻撃を受けるまで付与	得意属性が氷属性かつディフェンダーの時、スキル発動後、自身に「魔防アップ」を2回攻撃を受けるまで付与	得意属性が氷属性かつディフェンダーの時、スキル発動後、自身に「魔防アップ」を2回攻撃を受けるまで付与	得意属性が氷属性かつディフェンダーの時、スキル発動後、自身に「魔防アップ」を2回攻撃を受けるまで付与				
6000840	得意属性が氷属性の時、受けるダメージダウン	得意属性が氷属性の時、受けるダメージダウン	得意属性が氷属性の時、受けるダメージダウン	得意属性が氷属性の時、受けるダメージダウン				
6000841	得意属性が氷属性かつディフェンダーの時、受けるダメージダウン	得意属性が氷属性かつディフェンダーの時、受けるダメージダウン	得意属性が氷属性かつディフェンダーの時、受けるダメージダウン	得意属性が氷属性かつディフェンダーの時、受けるダメージダウン				
6000842	得意属性が氷属性の時、攻撃を受けた時、自身のHPを回復	得意属性が氷属性の時、攻撃を受けた時、自身のHPを回復	得意属性が氷属性の時、攻撃を受けた時、自身のHPを回復	得意属性が氷属性の時、攻撃を受けた時、自身のHPを回復				
6000843	得意属性が火属性の時、スキルダメージアップ	得意属性が火属性の時、スキルダメージアップ	得意属性が火属性の時、スキルダメージアップ	得意属性が火属性の時、スキルダメージアップ				
6000844	得意属性が火属性の時、バーストスキルダメージアップ	得意属性が火属性の時、バーストスキルダメージアップ	得意属性が火属性の時、バーストスキルダメージアップ	得意属性が火属性の時、バーストスキルダメージアップ				
6000845	得意属性が火属性の時、スキル発動後、自身のHPを回復	得意属性が火属性の時、スキル発動後、自身のHPを回復	得意属性が火属性の時、スキル発動後、自身のHPを回復	得意属性が火属性の時、スキル発動後、自身のHPを回復				
6000846	得意属性が火属性かつアタッカーの時、受ける強化効果量アップ	得意属性が火属性かつアタッカーの時、受ける強化効果量アップ	得意属性が火属性かつアタッカーの時、受ける強化効果量アップ	得意属性が火属性かつアタッカーの時、受ける強化効果量アップ				
6000847	自身がアタッカーの時、攻撃後、対象に「受けるダメージアップ」を2回攻撃を受けるまで付与	自身がアタッカーの時、攻撃後、対象に「受けるダメージアップ」を2回攻撃を受けるまで付与	自身がアタッカーの時、攻撃後、対象に「受けるダメージアップ」を2回攻撃を受けるまで付与	自身がアタッカーの時、攻撃後、対象に「受けるダメージアップ」を2回攻撃を受けるまで付与				
6000848	得意属性が斬属性の時、攻撃を受けた時、自身に「物攻アップ」を1回行動終了するまで付与(重複不可)	得意属性が斬属性の時、攻撃を受けた時、自身に「物攻アップ」を1回行動終了するまで付与(重複不可)	得意属性が斬属性の時、攻撃を受けた時、自身に「物攻アップ」を1回行動終了するまで付与(重複不可)	得意属性が斬属性の時、攻撃を受けた時、自身に「物攻アップ」を1回行動終了するまで付与(重複不可)				
6000849	得意属性が斬属性の時、攻撃後、対象に「受ける物理攻撃ダメージアップ」を2回攻撃を受けるまで付与	得意属性が斬属性の時、攻撃後、対象に「受ける物理攻撃ダメージアップ」を2回攻撃を受けるまで付与	得意属性が斬属性の時、攻撃後、対象に「受ける物理攻撃ダメージアップ」を2回攻撃を受けるまで付与	得意属性が斬属性の時、攻撃後、対象に「受ける物理攻撃ダメージアップ」を2回攻撃を受けるまで付与				
6000850	味方全員に「受けるダメージダウン」を1回攻撃を受けるまで付与	味方全員に「受けるダメージダウン」を1回攻撃を受けるまで付与	味方全員に「受けるダメージダウン」を1回攻撃を受けるまで付与	味方全員に「受けるダメージダウン」を1回攻撃を受けるまで付与				
6000851	ターンを遅らせる	ターンを遅らせる	ターンを遅らせる	ターンを遅らせる				
6000852	得意属性が火属性かつブレイカーの時、WEAK攻撃時、ブレイクダメージアップ	得意属性が火属性かつブレイカーの時、WEAK攻撃時、ブレイクダメージアップ	得意属性が火属性かつブレイカーの時、WEAK攻撃時、ブレイクダメージアップ	得意属性が火属性かつブレイカーの時、WEAK攻撃時、ブレイクダメージアップ				
6000853	得意属性が火属性の時、与えるマイナス効果量アップ	得意属性が火属性の時、与えるマイナス効果量アップ	得意属性が火属性の時、与えるマイナス効果量アップ	得意属性が火属性の時、与えるマイナス効果量アップ				
6000854	得意属性が斬属性かつディフェンダーの時、スキルダメージアップ	得意属性が斬属性かつディフェンダーの時、スキルダメージアップ	得意属性が斬属性かつディフェンダーの時、スキルダメージアップ	得意属性が斬属性かつディフェンダーの時、スキルダメージアップ				
6000855	自身がディフェンダーの時、HPが50%以下の時、受けるダメージダウン	自身がディフェンダーの時、HPが50%以下の時、受けるダメージダウン	自身がディフェンダーの時、HPが50%以下の時、受けるダメージダウン	自身がディフェンダーの時、HPが50%以下の時、受けるダメージダウン				
6000856	味方全員の物理攻撃ダメージアップ	味方全員の物理攻撃ダメージアップ	味方全員の物理攻撃ダメージアップ	味方全員の物理攻撃ダメージアップ				
6000857	得意属性が火属性の時、WEAK攻撃後、自身に「ブレイクダメージアップ」を付与(上限25%)	得意属性が火属性の時、WEAK攻撃後、自身に「ブレイクダメージアップ」を付与(上限25%)	得意属性が火属性の時、WEAK攻撃後、自身に「ブレイクダメージアップ」を付与(上限25%)	得意属性が火属性の時、WEAK攻撃後、自身に「ブレイクダメージアップ」を付与(上限25%)				
6000858	得意属性が火属性の時、WEAK攻撃後、自身に「ブレイクダメージアップ」を付与(上限20%)	得意属性が火属性の時、WEAK攻撃後、自身に「ブレイクダメージアップ」を付与(上限20%)	得意属性が火属性の時、WEAK攻撃後、自身に「ブレイクダメージアップ」を付与(上限20%)	得意属性が火属性の時、WEAK攻撃後、自身に「ブレイクダメージアップ」を付与(上限20%)				
6000859	得意属性が火属性の時、味方全員の状態異常耐性アップ	得意属性が火属性の時、味方全員の状態異常耐性アップ	得意属性が火属性の時、味方全員の状態異常耐性アップ	得意属性が火属性の時、味方全員の状態異常耐性アップ				
6000860	「正義と探求」の味方全員の物防上昇	「正義と探求」の味方全員の物防上昇	「正義と探求」の味方全員の物防上昇	「正義と探求」の味方全員の物防上昇				
6000861	得意属性が氷属性の時、バーストスキルダメージアップ	得意属性が氷属性の時、バーストスキルダメージアップ	得意属性が氷属性の時、バーストスキルダメージアップ	得意属性が氷属性の時、バーストスキルダメージアップ				
6000862	「ずぼら」の味方全員の魔攻上昇	「ずぼら」の味方全員の魔攻上昇	「ずぼら」の味方全員の魔攻上昇	「ずぼら」の味方全員の魔攻上昇				
6000863	得意属性が火属性かつディフェンダーの時、味方全員の魔法攻撃スキルダメージアップ	得意属性が火属性かつディフェンダーの時、味方全員の魔法攻撃スキルダメージアップ	得意属性が火属性かつディフェンダーの時、味方全員の魔法攻撃スキルダメージアップ	得意属性が火属性かつディフェンダーの時、味方全員の魔法攻撃スキルダメージアップ				
6000864	得意属性が火属性の時、受けるHP回復量アップ	得意属性が火属性の時、受けるHP回復量アップ	得意属性が火属性の時、受けるHP回復量アップ	得意属性が火属性の時、受けるHP回復量アップ				
6000865	自身がディフェンダーの時、与えるマイナス効果量アップ	自身がディフェンダーの時、与えるマイナス効果量アップ	自身がディフェンダーの時、与えるマイナス効果量アップ	自身がディフェンダーの時、与えるマイナス効果量アップ				
6000866	自身がアタッカーの時、受ける強化効果量アップ	自身がアタッカーの時、受ける強化効果量アップ	自身がアタッカーの時、受ける強化効果量アップ	自身がアタッカーの時、受ける強化効果量アップ				
6000867	得意属性が氷属性かつアタッカーの時、攻撃後、自身に「スキルダメージアップ」を2回行動終了するまで付与	得意属性が氷属性かつアタッカーの時、攻撃後、自身に「スキルダメージアップ」を2回行動終了するまで付与	得意属性が氷属性かつアタッカーの時、攻撃後、自身に「スキルダメージアップ」を2回行動終了するまで付与	得意属性が氷属性かつアタッカーの時、攻撃後、自身に「スキルダメージアップ」を2回行動終了するまで付与				
6000868	得意属性が氷属性の時、攻撃後、自身に「魔法攻撃スキルダメージアップ」を付与(上限20%)	得意属性が氷属性の時、攻撃後、自身に「魔法攻撃スキルダメージアップ」を付与(上限20%)	得意属性が氷属性の時、攻撃後、自身に「魔法攻撃スキルダメージアップ」を付与(上限20%)	得意属性が氷属性の時、攻撃後、自身に「魔法攻撃スキルダメージアップ」を付与(上限20%)				
6000869	得意属性が氷属性の時、攻撃後、自身に「魔法攻撃スキルダメージアップ」を付与(上限15%)	得意属性が氷属性の時、攻撃後、自身に「魔法攻撃スキルダメージアップ」を付与(上限15%)	得意属性が氷属性の時、攻撃後、自身に「魔法攻撃スキルダメージアップ」を付与(上限15%)	得意属性が氷属性の時、攻撃後、自身に「魔法攻撃スキルダメージアップ」を付与(上限15%)				
6000870	クリティカル確率アップ	クリティカル確率アップ	クリティカル確率アップ	クリティカル確率アップ				
6000871	得意属性が打属性の時、クリティカル攻撃後、自身に「受けるダメージダウン」を2回攻撃を受けるまで付与	得意属性が打属性の時、クリティカル攻撃後、自身に「受けるダメージダウン」を2回攻撃を受けるまで付与	得意属性が打属性の時、クリティカル攻撃後、自身に「受けるダメージダウン」を2回攻撃を受けるまで付与	得意属性が打属性の時、クリティカル攻撃後、自身に「受けるダメージダウン」を2回攻撃を受けるまで付与				
6000872	得意属性が打属性の時、受ける強化効果量アップ	得意属性が打属性の時、受ける強化効果量アップ	得意属性が打属性の時、受ける強化効果量アップ	得意属性が打属性の時、受ける強化効果量アップ				
6000873	自身がディフェンダーの時、物攻アップ	自身がディフェンダーの時、物攻アップ	自身がディフェンダーの時、物攻アップ	自身がディフェンダーの時、物攻アップ				
6000874	自身がディフェンダーの時、カウンター攻撃を受けた時、自身に「受けるダメージダウン」を2回付与	自身がディフェンダーの時、カウンター攻撃を受けた時、自身に「受けるダメージダウン」を2回付与	自身がディフェンダーの時、カウンター攻撃を受けた時、自身に「受けるダメージダウン」を2回付与	自身がディフェンダーの時、カウンター攻撃を受けた時、自身に「受けるダメージダウン」を2回付与				
6000875	得意属性が打属性の時、受けるHP回復量アップ	得意属性が打属性の時、受けるHP回復量アップ	得意属性が打属性の時、受けるHP回復量アップ	得意属性が打属性の時、受けるHP回復量アップ				
6000876	物攻が最も高い味方1人に「クリティカル確率アップ」を2回行動終了するまで付与	物攻が最も高い味方1人に「クリティカル確率アップ」を2回行動終了するまで付与	物攻が最も高い味方1人に「クリティカル確率アップ」を2回行動終了するまで付与	物攻が最も高い味方1人に「クリティカル確率アップ」を2回行動終了するまで付与				
6000877	物攻が最も高い味方1人に「クリティカルダメージアップ」を2回行動終了するまで付与	物攻が最も高い味方1人に「クリティカルダメージアップ」を2回行動終了するまで付与	物攻が最も高い味方1人に「クリティカルダメージアップ」を2回行動終了するまで付与	物攻が最も高い味方1人に「クリティカルダメージアップ」を2回行動終了するまで付与				
6000878	HPが最も減っている味方1人に「受けるダメージダウン」を1回攻撃を受けるまで付与	HPが最も減っている味方1人に「受けるダメージダウン」を1回攻撃を受けるまで付与	HPが最も減っている味方1人に「受けるダメージダウン」を1回攻撃を受けるまで付与	HPが最も減っている味方1人に「受けるダメージダウン」を1回攻撃を受けるまで付与				
6000879	「約束と協力」の味方全員に強化効果が付与された時、効果量アップ	「約束と協力」の味方全員に強化効果が付与された時、効果量アップ	「約束と協力」の味方全員に強化効果が付与された時、効果量アップ	「約束と協力」の味方全員に強化効果が付与された時、効果量アップ				
6000880	自身が打属性の時、与えるマイナス効果量アップ	自身が打属性の時、与えるマイナス効果量アップ	自身が打属性の時、与えるマイナス効果量アップ	自身が打属性の時、与えるマイナス効果量アップ				
6000881	「冒険」の味方全員の物攻アップ	「冒険」の味方全員の物攻アップ	「冒険」の味方全員の物攻アップ	「冒険」の味方全員の物攻アップ				
6000882	自身がアタッカーの時、与える強化効果量アップ	自身がアタッカーの時、与える強化効果量アップ	自身がアタッカーの時、与える強化効果量アップ	自身がアタッカーの時、与える強化効果量アップ				
6000883	「おてんば」の味方全員の魔攻アップ	「おてんば」の味方全員の魔攻アップ	「おてんば」の味方全員の魔攻アップ	「おてんば」の味方全員の魔攻アップ				
6000884	得意属性が打属性かつブレイカーの時、スキル発動後、対象に「受ける物理攻撃ダメージアップ」を2回攻撃を受けるまで付与	得意属性が打属性かつブレイカーの時、スキル発動後、対象に「受ける物理攻撃ダメージアップ」を2回攻撃を受けるまで付与	得意属性が打属性かつブレイカーの時、スキル発動後、対象に「受ける物理攻撃ダメージアップ」を2回攻撃を受けるまで付与	得意属性が打属性かつブレイカーの時、スキル発動後、対象に「受ける物理攻撃ダメージアップ」を2回攻撃を受けるまで付与				
6000885	自身が打属性の時、WEAK攻撃後、自身に「物攻アップ」を1回行動終了まで付与	自身が打属性の時、WEAK攻撃後、自身に「物攻アップ」を1回行動終了まで付与	自身が打属性の時、WEAK攻撃後、自身に「物攻アップ」を1回行動終了まで付与	自身が打属性の時、WEAK攻撃後、自身に「物攻アップ」を1回行動終了まで付与				
6000886	自身がブレイカーの時、味方全員のブレイクダメージアップ	自身がブレイカーの時、味方全員のブレイクダメージアップ	自身がブレイカーの時、味方全員のブレイクダメージアップ	自身がブレイカーの時、味方全員のブレイクダメージアップ				
6000887	得意属性が火属性かつアタッカーの時、スキル発動後、対象に「受けるクリティカルダメージアップ」を2回攻撃を受けるまで付与	得意属性が火属性かつアタッカーの時、スキル発動後、対象に「受けるクリティカルダメージアップ」を2回攻撃を受けるまで付与	得意属性が火属性かつアタッカーの時、スキル発動後、対象に「受けるクリティカルダメージアップ」を2回攻撃を受けるまで付与	得意属性が火属性かつアタッカーの時、スキル発動後、対象に「受けるクリティカルダメージアップ」を2回攻撃を受けるまで付与				
6000888	自身がアタッカーの時、クリティカル攻撃後、自身に「スキルダメージアップ」を1回行動終了まで付与	自身がアタッカーの時、クリティカル攻撃後、自身に「スキルダメージアップ」を1回行動終了まで付与	自身がアタッカーの時、クリティカル攻撃後、自身に「スキルダメージアップ」を1回行動終了まで付与	自身がアタッカーの時、クリティカル攻撃後、自身に「スキルダメージアップ」を1回行動終了まで付与				
6000889	得意属性が火属性の時、バーストスキルダメージアップ	得意属性が火属性の時、バーストスキルダメージアップ	得意属性が火属性の時、バーストスキルダメージアップ	得意属性が火属性の時、バーストスキルダメージアップ				
6000890	得意属性が風属性かつアタッカーの時、スキル発動後、自身に「魔攻アップ」を2回行動終了するまで付与	得意属性が風属性かつアタッカーの時、スキル発動後、自身に「魔攻アップ」を2回行動終了するまで付与	得意属性が風属性かつアタッカーの時、スキル発動後、自身に「魔攻アップ」を2回行動終了するまで付与	得意属性が風属性かつアタッカーの時、スキル発動後、自身に「魔攻アップ」を2回行動終了するまで付与				
6000891	自身がアタッカーの時、単体攻撃のスキルダメージアップ	自身がアタッカーの時、単体攻撃のスキルダメージアップ	自身がアタッカーの時、単体攻撃のスキルダメージアップ	自身がアタッカーの時、単体攻撃のスキルダメージアップ				
6000892	得意属性が風属性の時、HP回復を受けた時、自身に「スキルダメージアップ」を1回行動終了するまで付与(重複不可)	得意属性が風属性の時、HP回復を受けた時、自身に「スキルダメージアップ」を1回行動終了するまで付与(重複不可)	得意属性が風属性の時、HP回復を受けた時、自身に「スキルダメージアップ」を1回行動終了するまで付与(重複不可)	得意属性が風属性の時、HP回復を受けた時、自身に「スキルダメージアップ」を1回行動終了するまで付与(重複不可)				
6000893	得意属性が突属性かつディフェンダーの時、攻撃を受けた時、自身に「物防アップ」を1回攻撃を受けるまで付与(重複不可)	得意属性が突属性かつディフェンダーの時、攻撃を受けた時、自身に「物防アップ」を1回攻撃を受けるまで付与(重複不可)	得意属性が突属性かつディフェンダーの時、攻撃を受けた時、自身に「物防アップ」を1回攻撃を受けるまで付与(重複不可)	得意属性が突属性かつディフェンダーの時、攻撃を受けた時、自身に「物防アップ」を1回攻撃を受けるまで付与(重複不可)				
6000894	自分がディフェンダーの時、スキル発動後、自身に「受けるダメージダウン」を2回攻撃を受けるまで付与	自分がディフェンダーの時、スキル発動後、自身に「受けるダメージダウン」を2回攻撃を受けるまで付与	自分がディフェンダーの時、スキル発動後、自身に「受けるダメージダウン」を2回攻撃を受けるまで付与	自分がディフェンダーの時、スキル発動後、自身に「受けるダメージダウン」を2回攻撃を受けるまで付与				
6000895	得意属性が突属性の時、受けるHP回復量アップ	得意属性が突属性の時、受けるHP回復量アップ	得意属性が突属性の時、受けるHP回復量アップ	得意属性が突属性の時、受けるHP回復量アップ				
6000896	得意属性が突属性かつアタッカーの時、スキル発動後、自身に「物攻アップ」を1回行動終了するまで付与	得意属性が突属性かつアタッカーの時、スキル発動後、自身に「物攻アップ」を1回行動終了するまで付与	得意属性が突属性かつアタッカーの時、スキル発動後、自身に「物攻アップ」を1回行動終了するまで付与	得意属性が突属性かつアタッカーの時、スキル発動後、自身に「物攻アップ」を1回行動終了するまで付与				
