id	description	description_en	description_zh-CN	description_zh-TW
60017005	・ブレイク中、火属性攻撃の被ダメージ上昇\n・回復無効を付与\n・攻撃を受けた時、毒を付与	- Receives increased damage from Fire attacks while stunned\n- Inflicts Nullify Recovery\n- Inflicts Poison when hit by an attack	·破防中，所受火属性攻击伤害提升\n·赋予恢复无效\n·受到攻击时，赋予中毒	‧破防時，所受火屬性攻擊傷害上升\n‧賦予回復無效\n‧受到攻擊時，賦予中毒
60017008	・確率でカウンター\n・毒を付与\n・仲間に再生を付与			
60017010	・確率でカウンター\n・仲間に再生を付与			
60018004	・仲間を回復\n・戦闘不能時、仲間を回復\n・ブレイクしていない時、被ダメージ減少\n・ブレイク時、自身のプラス効果を解除\n・ブレイク時、相手全員に与ダメージUPを付与\n・全体攻撃で受けるブレイクダメージ上昇	- Heals allies\n- Heals allies when KO'd\n- Receives reduced damage while not stunned\n- When stunned, removes all positive effects from self\n- When stunned, boosts all opponents' damage dealt\n- Receives increased stun damage from attacks that target all enemies	·恢复友方\n·无法战斗时恢复友方\n·未破防时，所受伤害减少\n·破防时，解除自身正面效果\n·破防时，赋予对手全体造成伤害提升\n·所受全体攻击破防伤害提升	‧回復夥伴\n‧無法戰鬥時，回復夥伴\n‧未破防時，所受傷害減少\n‧破防時，解除自身的加強效果\n‧破防時，賦予全體對象給予傷害上升\n‧所受全體攻擊破防傷害上升
60018007	・仲間全体を回復\n・戦闘不能時、仲間全体を回復	- Restores all allies' HP\n- Heals all allies when KO'd	·恢复友方全体HP\n·无法战斗时，恢复友方全体	‧回復所有夥伴的HP\n‧無法戰鬥時，回復所有夥伴
60019001	・バーストスキルを受けた時のダメージ上昇\n・ブレイク状態が短い\n・行動するたび、与ダメージ上昇を付与\n・仲間を回復する	- Receives increased damage from burst skills\n- Shorter stun time\n- Boosts damage dealt with each turn\n- Heals allies	·受到爆发技能攻击的伤害提升\n·破防状态短暂\n·每次行动时，赋予造成伤害提升\n·为友方恢复	‧受到爆發技能攻擊時傷害上升\n‧破防狀態較短\n‧每次行動時，賦予給予傷害上升\n‧回復夥伴
60020001	・カウンター	- Counters	·还击	‧還擊
60020003	・ブレイク中、火属性攻撃の被ダメージ上昇\n・カウンター	- Receives increased damage from Fire attacks while stunned\n- Counters	·破防中，所受火属性攻击伤害提升\n·还击	‧破防時，所受火屬性攻擊傷害上升\n‧還擊
60020004	・カウンター\n・カウンターがある時、被ブレイクダメージ減少			
60021003	・バーストスキルを受けた時のダメージ上昇\n・ブレイク状態が短い\n・行動するたび、与ダメージ上昇を付与\n・かばう	- Receives increased damage from burst skills\n- Shorter stun time\n- Boosts damage dealt with each turn\n- Protection	·受到爆发技能攻击的伤害提升\n·破防状态短暂\n·每次行动时，赋予造成伤害提升\n·掩护	‧受到爆發技能攻擊時傷害上升\n‧破防狀態較短\n‧每次行動時，賦予給予傷害上升\n‧守護
60022001	・バーストスキルを受けた時のダメージ上昇\n・ブレイク状態が短い\n・行動するたび、与ダメージ上昇を付与\n・相手のターンを遅らせる\n・自身のブレイクゲージを回復	- Receives increased damage from burst skills\n- Shorter stun time\n- Boosts damage dealt with each turn\n- Delays turn of opponents\n- Restores own stun gauge	·受到爆发技能攻击的伤害提升\n·破防状态短暂\n·每次行动时，赋予造成伤害提升\n·推迟对手的回合\n·恢复自身的破防槽	‧受到爆發技能攻擊時傷害上升\n‧破防狀態較短\n‧每次行動時，賦予給予傷害上升\n‧推遲對象行動回合\n\n‧回復自身的破防量表
60025003	・眠りを付与			
60026001	・相手全員に火傷を付与\n・自身が戦闘不能時、仲間全体に与ダメージUPを付与\n・自身が戦闘不能時、仲間全体に被ダメージUPを付与\n・氷・斬属性攻撃またはカウンター攻撃を受けた後、自身に被ダメージUPを付与	- Inflicts Burn to all opponents\n- When KO'd, boosts all allies' damage dealt\n- When KO'd, boosts all allies' damage received\n- Boosts own damage received after being hit by an Ice attack, Slash attack, or counterattack	·赋予目标全体火伤\n·无法战斗时，赋予友方全体造成伤害提升\n·无法战斗时，赋予友方全体所受伤害提升\n·受到冰、斩击属性攻击或还击后，赋予自身所受伤害提升	‧賦予全體對象燒傷\n‧無法戰鬥時，賦予所有夥伴給予傷害上升\n‧無法戰鬥時，賦予所有夥伴所受傷害上升\n‧受到冰、斬屬性攻擊或還擊攻擊後，賦予自身所受傷害上升
60026004	・相手全員に火傷を付与\n・自身が戦闘不能時、仲間全体に与ダメージUPを付与\n・自身が戦闘不能時、仲間全体に被ダメージUPを付与	- Inflicts Burn to all opponents\n- When KO'd, boosts all allies' damage dealt\n- When KO'd, boosts all allies' damage received	·赋予目标全体火伤\n·无法战斗时，赋予友方全体造成伤害提升\n·无法战斗时，赋予友方全体所受伤害提升	‧賦予全體對象燒傷\n‧無法戰鬥時，賦予所有夥伴給予傷害上升\n‧無法戰鬥時，賦予所有夥伴所受傷害上升
60026010	・相手全員に火傷を付与\n・戦闘不能時、仲間全体に与ダメージUPを付与\n・戦闘不能時、仲間全体に被ダメージUPを付与			
60026014	・戦闘不能時、仲間全体の与ダメージ上昇\n・戦闘不能時、仲間全体の被ダメージ上昇\n・火傷を付与			
60026055	・戦闘不能時、仲間全体に与ダメージUPを付与\n・戦闘不能時、仲間全体に被ダメージUPを付与\n・行動するたび、自身に被ダメージDOWNを付与	- When KO'd, boosts all allies' damage dealt\n- When KO'd, boosts all allies' damage received\n- Reduces own damage received each turn	·无法战斗时，赋予友方全体造成伤害提升\n·无法战斗时，赋予友方全体所受伤害提升\n·每次行动时，赋予自身所受伤害下降	‧無法戰鬥時，賦予所有夥伴給予傷害上升\n‧無法戰鬥時，賦予所有夥伴所受傷害上升\n‧每次行動時，賦予自身所受傷害下降
60030001	・単体攻撃を受けると与ダメージ上昇\n・単体攻撃を受けると被ダメージ上昇\n・全体攻撃を受けると与ダメージ低下\n・カウンター	- Boosts damage dealt when hit by a single-target attack\n- Receives increased damage from single-target attacks\n- Reduces damage dealt when hit by an attack that targets all enemies\n- Counters	·受到单体攻击后造成伤害提升\n·受到单体攻击后所受伤害提升\n·受到全体攻击后造成伤害下降\n·还击	‧受到單體攻擊時給予傷害上升\n‧受到單體攻擊時所受傷害上升\n‧受到全體攻擊時給予傷害下降\n‧還擊
60030007	・ウェーブ開始時、自身に被ダメージDOWNを付与\n・物理攻撃を受けた時、自身に与ダメージと被ダメージUPを付与\n・魔法攻撃を受けた時、自身に与ダメージと被ダメージDOWNを付与\n・確率でカウンター			
60034002	・かばう\n・仲間のパネルをバーストパネルへ変更\n・物理攻撃に弱い\n・攻撃を受けるたび、自身に被ダメージUPを付与	- Protection\n- Converts allies' panels into burst panels\n- Weak to physical attacks\n- When hit by an attack, boosts own damage received	·掩护\n·友方面板变换为爆发面板\n·不耐物理攻击\n·每次受到攻击时，赋予自身所受伤害提升	‧守護\n‧將夥伴的面板變更為爆發面板\n‧物理攻擊抵抗力弱\n‧每次受到攻擊時，賦予自身所受傷害上升
60034007	・かばう\n・味方のパネルをバーストパネルに変更\n・相手に素早さDOWNが付与されている時、眠りを付与	- Protection\n- Converts allies' panels into burst panels\n- Inflicts Sleep on opponents that have reduced SPD	·掩护\n·将我方面板变换为爆发面板\n·对敏捷下降的对手赋予睡眠	‧守護\n‧將我方的面板變更為爆發面板\n‧對象被賦予敏捷下降時，賦予睡眠
60034010	・かばう\n・自身に再生を付与\n・仲間のパネルをバーストパネルへ変更\n・素早さDOWNを付与\n・素早さDOWNを持つ相手に眠りを付与			
60035003	・ブレイク時、敵全体に再生と与ダメージ低下を付与\n・手番を遅らせる	- When stunned, grants Regen to all enemies and inflicts Reduced Damage Dealt\n- Delays turn	·破防时，赋予敌方全体再生和造成伤害下降\n·推迟回合	‧破防時，賦予敵方全體再生與給予傷害下降\n‧推遲行動回合
60035004	・ブレイク時、相手全員に再生を付与\n・HPが一定に達すると、攻撃を受けた後、与ダメージUPを付与	- When stunned, grants Regen to all opponents\n- Boosts damage dealt after being hit by an attack when HP reaches a certain level	·破防时，赋予全体对手再生\n·HP达到一定值后，受到攻击时，赋予造成伤害提升	‧破防時，賦予全體對象再生\n‧HP達一定值時，受到攻擊後，賦予給予傷害上升
60035005	・ターンを遅らせる\n・氷・斬属性攻撃またはカウンター攻撃を受けた後、自身に被ダメージUPを付与	- Delays turn\n- Boosts own damage received after being hit by an Ice attack, Slash attack, or counterattack	·推迟回合\n·受到冰、斩击属性攻击或还击后，赋予自身所受伤害提升	‧推遲行動回合\n‧受到冰、斬屬性攻擊或還擊攻擊後，賦予自身所受傷害上升
60035007	・ブレイク時、相手全員に再生を付与\n・相手のターンを遅らせる\n・仲間のターンを早める			
60035008	・ブレイク時、相手全員に再生を付与\n・HPが一定に達すると、自身に与ダメージUPを付与\n・相手のターンを遅らせる\n・仲間のターンを早める			
60039001	・挑発を付与\n・挑発を持つ相手に対し、与ダメージ上昇\n・麻痺を確率で付与\n・仲間に再生を付与			
60039004	・ブレイク時、相手全員に与ダメージUPとクリティカルダメージUPを付与\n・挑発を付与\n・確率で麻痺を付与\n・仲間に再生を付与			
60044007	・行動するたび、相手に挑発を付与\n・自身のHPが低いほど与ダメージ上昇\n・仲間を回復	- Inflicts Taunt on opponents each turn\n- Dealt damage is increased as own HP decreases\n- Heals allies	·每次行动时赋予敌方挑衅\n·自身HP越低造成伤害越高\n·恢复我方	‧每次行動時，賦予對象挑釁\n‧自身HP越低，給予傷害越高\n‧回復夥伴
60045002	・HPが一定に達すると、複数のプラス効果が発生\n・HPが一定に達すると、複数のパネルが出現\n・戦闘アイテムからの被ダメージ上昇\n・仲間を回復	- Gains multiple positive effects when HP reaches a certain level\n- Multiple panels appear when HP reaches a certain level\n- Receives increased damage from battle items\n- Heals allies	·HP达到一定值后触发多个正面效果\n·HP到达一定值后生成多个面板\n·来自战斗道具的伤害提升\n·为友方恢复	‧HP達一定值時，發生複數加強效果\n‧HP達一定值時，出現複數面板\n‧戰鬥道具造成的所受傷害上升\n‧回復夥伴
60045003	・相手に回復無効を付与\n・相手全員のプラス効果を解除\n・相手全員に麻痺を確率で付与\n・仲間を回復	- Inflicts Nullify Recovery on opponents\n- Removes positive effects from all opponents\n- Chance to inflicts Paralysis on all opponents\n- Heals allies	·赋予目标恢复无效\n·解除目标全体的正面效果\n·有概率赋予敌方全体麻痹\n·为友方恢复	‧賦予對象回復無效\n‧解除全體對象的加強效果\n‧一定機率賦予全體對象麻痺\n‧回復夥伴
60046001	・行動後、自身に与ダメージUPを付与\n・暗闇を付与\n・確率で相手のターンを遅らせる	- After turn, boosts own damage dealt\n- Inflicts Blindness\n- Chance to delay turn of opponents	·行动后赋予自身造成伤害提升\n·赋予盲目状态\n·有概率推迟对手的回合	‧行動後，賦予自身給予傷害上升\n‧賦予盲目\n‧以一定機率推遲對象行動回合
60051001	・挑発を持つ相手に対し、与ダメージ上昇\n・挑発を付与\n・麻痺を確率で付与\n・仲間を回復			
60052002	・回復無効を付与\n・行動するたび、仲間のブレイクダメージ回復\n・雷攻撃で受けるブレイクダメージ上昇\n・風属性攻撃を受けると自身の与ダメージダウン\n・ブレイク後、自身にマイナス効果量UP\n・仲間に再生と与ダメージ上昇を付与\n・受けるHP回復量低下を付与	- Inflicts Nullify Recovery\n- Restores allies' stun damage each turn\n- Receives increased stun damage from Bolt attacks\n- Reduces damage dealt when hit by Air attacks\n- Boosts potency of negative effects on self after stun\n- Grants Regen and increased damage dealt to allies\n- Reduces HP recovery received	·赋予恢复无效\n·每次行动时，恢复友方破防伤害\n·受到来自雷属性攻击的破防伤害提升\n·受到风属性攻击时，自身造成伤害下降\n·破防后，自身的负面效果量提升\n·赋予友方再生与造成伤害提升\n·赋予所受HP恢复量下降	‧賦予回復無效\n‧每次行動時，回復夥伴的破防傷害\n‧所受雷攻擊破防傷害上升\n‧受到風屬性攻擊時，自身的給予傷害下降\n‧破防後，自身的減弱效果量上升\n‧賦予夥伴再生與給予傷害上升\n‧賦予所受HP回復量下降
60054001	・強力な単体攻撃\n・かばう\n・行動するたび、自身のブレイクゲージを回復	- Deals significant damage to single targets\n- Protection\n- Restores own stun gauge each turn	·强力的单体攻击\n·掩护\n·每次行动时，恢复自身的破防槽	‧強力的單體攻擊\n‧守護\n‧每次行動時，回復自身的破防量表
60055000	・強力な全体攻撃\n・自身にダメージ無効を付与\n・行動するたび、自身のマイナス効果を解除\n・ブレイク中、被ダメージ上昇	- Deals significant damage to all targets\n- Grants self Damage Immunity\n- Removes own negative effects each turn\n- Received damage is increased while stunned	·强力的全体攻击\n·赋予自身伤害无效\n·每次行动时，解除自身负面效果\n·破防中所受伤害提升	‧強力的全體攻擊\n‧賦予自身傷害無效\n‧每次行動時，解除自身的減弱效果\n‧破防時，所受傷害上升
60055003	・強力な全体攻撃\n・仲間へダメージ無効を付与\n・行動するたび、自身のマイナス効果を解除\n・ブレイク中、被ダメージ上昇	- Deals significant damage to all targets\n- Grants Damage Immunity to allies\n- Removes own negative effects each turn\n- Received damage is increased while stunned	·强力的全体攻击\n·赋予友方伤害无效\n·每次行动时，解除自身负面效果\n·破防中所受伤害提升	‧強力的全體攻擊\n‧賦予夥伴傷害無效\n‧每次行動時，解除自身的減弱效果\n‧破防時，所受傷害上升
60056004	・強力な全体攻撃\n・毒攻撃\n・プラス効果無効を付与\n・状態異常に対し与ダメージ上昇\n・カウンター\n・回復無効を付与	- Deals significant damage to all targets\n- Poisonous attack\n- Inflicts Nullify Positive Effects\n- Dealt damage is increased against targets with status effects\n- Counters\n- Inflicts Nullify Recovery	·强力的全体攻击\n·中毒攻击\n·赋予正面效果无效\n·对异常状态造成伤害提升\n·还击\n·赋予恢复无效	‧強力的全體攻擊\n‧中毒攻擊\n‧賦予加強效果無效\n‧面對異常狀態，給予傷害上升\n‧還擊\n‧賦予回復無效
60056005	・カウンター\n・毒攻撃\n・状態異常に対し与ダメージ上昇	- Counters\n- Poisonous attack\n- Dealt damage is increased against targets with status effects	·还击\n·中毒攻击\n·对异常状态造成伤害提升	‧還擊\n‧中毒攻擊\n‧面對異常狀態，給予傷害上升
60060001	・相手のターンを遅らせる	- Delays turn of opponents	·推迟对手的回合	‧推遲對象行動回合
60060002	・ターンを遅らせる\n・行動前、HPとブレイクゲージを回復			
60061001	・相手のターンを遅らせる\n・仲間を回復	- Delays turn of opponents\n- Heals allies	·推迟对手的回合\n·为友方恢复	‧推遲對象行動回合\n\n‧回復夥伴
60062001	・相手のターンを遅らせる	- Delays turn of opponents	·推迟对手的回合	‧推遲對象行動回合
60063001	・毒を付与\n・相手のプラス効果を全て解除\n・マイナス効果がある場合、被ダメージ上昇\n・マイナス効果がある場合、被ブレイクダメージ上昇\n・非クリティカル攻撃を受けた後、自身に被ダメージ減少を付与	- Inflicts Poison\n- Removes all of opponent's positive effects\n- Receives increased damage while inflicted with negative effects\n- Receives increased stun damage while inflicted with negative effects\n- After being hit by a non-critical attack, reduces own damage received	·赋予中毒\n·解除对手所有正面效果\n·存在负面效果时，所受伤害提升\n·存在负面效果时，所受破防伤害提升\n·受到非暴击攻击时，赋予自身所受伤害减少	‧賦予中毒\n‧解除對象的全部加強效果\n‧具有減弱效果時，所受傷害上升\n‧具有減弱效果時，所受破防傷害上升\n‧受到非重擊攻擊後，賦予自身所受傷害減少
60063002	・毒を付与\n・相手のプラス効果を全て解除\n・マイナス効果がある場合、被ダメージ上昇\n・マイナス効果がある場合、被ブレイクダメージ上昇	- Inflicts Poison\n- Removes all of opponent's positive effects\n- Receives increased damage while inflicted with negative effects\n- Receives increased stun damage while inflicted with negative effects	·赋予中毒\n·解除对手的全部正面效果\n·存在负面效果时，所受伤害提升\n·存在负面效果时，所受破防伤害提升	‧賦予中毒\n‧解除對象的全部加強效果\n‧具有減弱效果時，所受傷害上升\n‧具有減弱效果時，所受破防傷害上升
60063003	・自身にマイナス効果が付与されている時、被ダメージと被ブレイクダメージ上昇\n・相手のプラス効果を解除\n・毒を付与\n・仲間を回復			
60063005	・毒を付与			
60064001	・自身にマイナス効果が付与されている時、被ダメージと被ブレイクダメージ上昇\n・相手のプラス効果をすべて解除\n・仲間を回復			
60066003	・マイナス効果を持つ相手に対し、与ダメージ上昇\n・自身が状態異常の場合、被ダメージ上昇	- Dealt damage is increased against targets with negative effects\n- When inflicted with a status effect, boosts damage received	·对带有负面效果的对手造成伤害提升\n·自身处于异常状态时，所受伤害提升	‧面對具有減弱效果的對象，給予傷害上升\n‧自身處於異常狀態時，所受傷害上升
60066006	・マイナス効果を持つ相手に対し、与ダメージ上昇\n・仲間を回復	- Dealt damage is increased against targets with negative effects\n- Heals allies	·对带有负面效果的对手造成伤害提升\n·为友方恢复	‧面對具有減弱效果的對象，給予傷害上升\n‧回復夥伴
60069001	・与ダメージDOWNを付与\n・行動するたび、HPを回復\n・ブレイク時、被ダメージ上昇	- Reduces damage dealt\n- Restores HP per turn\n- Receives increased damage when stunned	·赋予造成伤害下降\n·每次行动时恢复HP\n·破防时，所受伤害提升	‧賦予給予傷害下降\n‧每次行動時回復HP\n‧破防時，所受傷害上升
60069002	・ブレイク時、被ダメージ上昇\n・行動するたび、HPを回復\n・挑発を付与			
60069003	・行動後、自身を回復\n・ブレイク中、被ダメージ上昇\n・挑発を付与			
60070001	・仲間を回復\n・行動するたび、自身を回復\n・ブレイク中、被ダメージ上昇	- Heals allies\n- Heals self each turn\n- Received damage is increased while stunned	·为友方恢复\n·每次行动时，为自身恢复\n·破防中所受伤害提升	‧回復夥伴\n‧每次行動時，回復自身\n‧破防時，所受傷害上升
60071001	・ブレイク中、被ダメージ上昇\n・行動するたび、HPを回復\n・仲間を回復\n・仲間全体を回復			
60072001	・ブレイク時、プラス効果を解除			
60080001	・状態異常の敵に対し、与ダメージ上昇\n・マイナス効果を持つ相手に対し、与ダメージ上昇\n・毒を付与	- Dealt damage is increased against enemies with status effects\n- Dealt damage is increased against targets with negative effects\n- Inflicts Poison	·对异常状态的敌人造成伤害提升\n·对带有负面效果的对手造成伤害提升\n·赋予中毒	‧面對異常狀態的敵人，給予傷害上升\n‧面對具有減弱效果的對象，給予傷害上升\n‧賦予中毒
60081001	・挑発を付与	- Inflicts Taunt on target	·赋予对象挑衅	‧賦予目標挑釁
60081002	・挑発を付与\n・行動開始時、自身のHPを回復\n・行動開始時、自身のブレイクゲージを回復	- Inflicts Taunt on target\n- Restores own HP at the start of a turn\n- Restores own stun gauge at the start of a turn	·赋予对象挑衅\n·开始行动时，恢复自身HP\n·开始行动时，恢复自身的破防槽	‧賦予目標挑釁\n‧開始行動時，回復自身HP\n‧開始行動時，回復自身的破防量表
60081003	・挑発を付与\n・行動するたび、自身のHPとブレイクゲージを回復	- Inflicts Taunt on target\n- Restores own HP and stun gauge each turn	·赋予对象挑衅\n·每次行动时，恢复自身HP和破防槽	‧賦予目標挑釁\n‧每次行動時回復自身HP和破防量表
60081007	・行動するたび、自身のHPとブレイクゲージを回復\n・挑発を付与\n・強力な攻撃を使用			
60082001	・強力な全体攻撃を使用\n・行動するたび、自身のHPとブレイクゲージを回復	- Attacks all enemies with a powerful attack\n- Restores own HP and stun gauge each turn	·使用强力的全体攻击\n·每次行动时，恢复自身HP和破防槽	‧使用強力的全體攻擊\n‧每次行動時回復自身HP和破防量表
60082002	・行動するたび、自身のHPとブレイクゲージを回復\n・強力な攻撃を使用			
60083002	・行動開始時、自身のHPを回復\n・行動開始時、自身のブレイクゲージを回復	- Restores own HP at the start of a turn\n- Restores own stun gauge at the start of a turn	·开始行动时，恢复自身HP\n·开始行动时，恢复自身的破防槽	‧開始行動時，回復自身HP\n‧開始行動時，回復自身的破防量表
60084001	・属性耐性低下に弱い\n・HPが一定に達すると、与ダメージ上昇\n・行動するたび、ブレイクダメージ回復 \n・打・雷攻撃で受けるブレイクダメージ上昇	- Weak to attribute resistance debuffs\n- Boosts damage dealt when HP is at a certain level\n- Recovers stun damage with each turn\n- Receives increased stun damage from Strike or Bolt attacks	·不耐属性耐性下降\n·HP达到一定值后，造成伤害提升\n·每次行动时，恢复破防伤害\n·受到来自打击属性和雷属性攻击的破防伤害提升	‧容易被賦予屬性耐性下降\n‧HP達一定值時，給予傷害上升\n‧每次行動時，回復破防傷害\n‧所受打、雷攻擊破防傷害上升
60085001	・弱体パネルを出現させる\n・自身のターンを早める\n・自身以外の仲間がいない時、複数のプラス効果が発生	- Creates weaken panels\n- Advances owns turns\n- When no other allies remain, gains multiple positive effects	·生成削弱面板\n·加快自身回合\n·除自身外没有友方时，触发多个正面效果	‧使弱化面板出現\n‧加快自身的行動回合\n‧沒有我方夥伴時，發生複數加強效果
60086001	・魔法攻撃を受けた時、自身に受ける回復量DOWNを付与\n・物理攻撃を受けた時、自身に受けるマイナス効果量UPを付与\n・行動するたび、自身のHP回復\n・HPが一定に達すると、複数のプラス効果が発生\n・敵全体に与える回復量DOWNを付与	- When hit by a magic attack, reduces own recovery received\n- When hit by a physical attack, boosts potency of own received negative effects\n- Restores own HP each turn\n- Gains multiple positive effects when HP reaches a certain level\n- Reduces recovery given to all enemies	·受到魔法攻击时，赋予自身所受恢复量下降\n·受到物理攻击时，赋予自身所受负面效果量提升\n·每次行动时，恢复自身HP\n·HP达到一定值后，触发多个正面效果\n·赋予敌方全体恢复量下降	‧受到魔法攻擊時，賦予自身所受回復量下降\n‧受到物理攻擊時，賦予自身所受減弱效果量上升\n‧每次行動時，回復自身HP\n‧HP達一定值時，發生複數加強效果\n‧賦予敵方全體賦予的回復量下降
60087006	・敵のプラス効果が10個以上で多いほど被ダメージ上昇\n・狙われやすさを無視する攻撃を行う\n・防御力が高い\n・相手のプラス効果を解除\n・毒攻撃	- Receives increased damage when enemies have 10 or more positive effects (Higher boost for more effects)\n- Attacks ignore odds of being targeted\n- High defense\n- Nullifies opponents' positive effects\n- Poisonous attack	·敌方的正面效果不低于10个时，效果越多，所受伤害越高\n·攻击时无视易被选中度\n·防御力较高\n·解除对手的正面效果\n·中毒攻击	‧敵人的加強效果在10個以上時，數量越多，所受傷害上升越多\n‧無視被鎖定機率攻擊\n‧防禦力較高\n‧解除對象的加強效果\n‧中毒攻擊
60088008	・敵のプラス効果が10個以上で多いほど被ダメージ上昇\n・狙われやすさを無視する攻撃を行う\n・毒攻撃	- Receives increased damage when enemies have 10 or more positive effects (Higher boost for more effects)\n- Attacks ignore odds of being targeted\n- Poisonous attack	·敌方的正面效果不低于10个时，效果越多，所受伤害越高\n·攻击时无视易被选中度\n·中毒攻击	‧敵人的加強效果在10個以上時，數量越多，所受傷害上升越多\n‧無視被鎖定機率攻擊\n‧中毒攻擊
60089003	・アタッカーに与ダメージ低下を付与\n・毒攻撃\n・カウンター	- Inflicts Reduced Damage Dealt on Attackers\n- Poisonous attack\n- Counters	·赋予攻击者造成伤害下降\n·中毒攻击\n·还击	‧賦予攻擊者給予傷害下降\n‧中毒攻擊\n‧還擊
60089007	・毒を付与\n・カウンター			
60090004	・かばう\n・戦闘開始時、自身に複数の被ダメージDOWNを付与\n・一定ターン以降、強力な攻撃を使用\n・魔攻DOWNを付与	- Protection\n- At the start of battle, reduces own damage received multiple times\n- Attacks with a powerful attack after a certain number of turns\n- Reduces M. ATK	·掩护\n·战斗开始时，赋予自身多个所受伤害下降\n·一定回合数后，使用强力的攻击\n·赋予魔攻下降	‧守護\n‧戰鬥開始時，賦予自身複數所受傷害下降\n‧一定行動回合以後，使用強力的攻擊\n‧賦予魔攻下降
60090005	・かばう\n・戦闘開始時、自身に複数の被ダメージDOWNを付与\n・一定ターン以降、行動が変化\n・魔攻DOWNを付与\n・自身が状態異常の場合、被ダメージ上昇	- Protection\n- At the start of battle, reduces own damage received multiple times\n- Changes moveset after a certain number of turns\n- Reduces M. ATK\n- When inflicted with a status effect, boosts damage received	·掩护\n·战斗开始时，赋予自身多个所受伤害下降\n·一定回合后，更改行动\n·赋予魔攻下降\n·自身处于异常状态时，所受伤害提升	‧守護\n‧戰鬥開始時，賦予自身複數所受傷害下降\n‧一定行動回合以後，行動產生變化\n‧賦予魔攻下降\n‧自身處於異常狀態時，所受傷害上升
60090008	・かばう\n・バトル開始時、自身に複数の被ダメージDOWNを付与			
60091003	・アタッカーに与ダメージ低下を付与\n・ウェーブ開始時、被ダメージ低下\n・プラス効果の種類数に応じてバースト威力上昇\n・仲間全体に回避状態を付与	- Inflicts Reduced Damage Dealt on Attackers\n- At the start of a wave, reduces damage received\n- Boosts burst power depending on the amount of different positive effects\n- Grants Evasion to all allies	·赋予攻击者造成伤害下降\n·WAVE开始时，所受伤害下降\n·爆发威力根据正面效果种类数提升\n·赋予友方全体回避状态	‧賦予攻擊者給予傷害下降\n‧WAVE開始時，所受傷害下降\n‧根據加強效果的種類數，爆發威力上升\n‧賦予所有夥伴迴避狀態
60091004	・狙われやすさを無視する攻撃を行う\n・ウェーブ開始時、被ダメージ低下\n・プラス効果の種類数に応じてバースト威力上昇\n・仲間全体を回避状態にする	- Attacks ignore odds of being targeted\n- At the start of a wave, reduces damage received\n- Boosts burst power based on the number of different positive effects\n- Grants Evasion to all allies	·攻击时无视易被选中度\n·WAVE开始时，所受伤害下降\n·正面效果的种类数量越多，爆发威力提升越多\n·使友方全体进入回避状态	‧無視被鎖定機率攻擊\n‧WAVE開始時，所受傷害下降\n‧根據加強效果的種類數，爆發威力上升\n‧使所有夥伴進入迴避狀態
60091011	・バトル開始時、自身に被ダメージDOWNを付与\n・仲間全体に回避を付与\n・仲間全体を回復			
60093003	・アタッカーに与ダメージ低下を付与\n・仲間が多いほど、被ダメージ低下\n・物理攻撃に弱い\n・仲間に魔法反射状態を付与\n・物理攻撃を受けた時、魔法反射状態を解除	- Inflicts Reduced Damage Dealt on Attackers\n- Receives reduced damage the more allies are alive\n- Weak to physical attacks\n- Grants reflect magic to allies\n- Reflect magic is removed when hit by a physical attack	·赋予攻击者造成伤害下降\n·友方越多，所受伤害下降越多\n·不耐物理攻击\n·赋予友方魔法反弹状态\n·受到物理攻击时，解除魔法反弹状态	‧賦予攻擊者給予傷害下降\n‧夥伴越多，所受傷害越低\n‧物理攻擊抵抗力弱\n‧賦予夥伴魔法反射狀態\n‧受到物理攻擊時，解除魔法反射狀態
60093005	・先駆け\n・1ターン目に強力な全体攻撃を使用\n・物理攻撃に弱い\n・攻撃を受けるたび、自身に被ダメージUPを付与	- Grants Initiative\n- Attacks all enemies with a powerful attack on the 1st turn\n- Weak to physical attacks\n- When hit, boosts own damage received	·先锋\n·第1回合发动强力的全体攻击\n·不耐物理攻击\n·每次受到攻击时，赋予自身所受伤害提升	‧先鋒\n‧第1回合使用強力的全體攻擊\n‧物理攻擊抵抗力弱\n‧每次受到攻擊時，賦予自身所受傷害上升
60096001	・バーストスキルを受けた時のダメージ上昇\n・ブレイク状態が短い\n・行動するたび、与ダメージUPを付与\n・属性耐性減少無効\n・ブレイクするたび、被ブレイクダメージ減少\n・ブレイクゲージが最大の時に攻撃を受けた時、バーストパネルを出現させる\n・相手に眠り状態を付与\n・自身のターンを早める	- Receives increased damage from burst skills\n- Shorter stun time\n- Boosts damage dealt with each turn\n- Nullifies Attribute Resistance Decreased\n- Each stun reduces stun damage received\n- Creates a burst panel when hit by an attack while the stun gauge is full\n- Inflicts Sleep to opponents\n- Advances owns turns	·受到爆发技能攻击的伤害提升\n·破防状态短暂\n·每次行动时，赋予造成伤害提升\n·属性耐性减少无效\n·每次破防后，所受破防伤害降低\n·若在破防槽为最大值时受到攻击，则生成爆发面板\n·赋予对手睡眠状态\n·加快自身回合	‧受到爆發技能攻擊時傷害上升\n‧破防狀態較短\n‧每次行動時，賦予給予傷害上升\n‧屬性耐性減少無效\n‧每次破防時，所受破防傷害下降\n‧破防量表為最大值時若受到攻擊，使爆發面板出現\n‧賦予對象睡眠狀態\n‧加快自身的行動回合
