id	name	name_en	name_zh-CN	name_zh-TW	description	description_en	description_zh-CN	description_zh-TW
156	フローリッシュハート	Flourish Heart	华丽之心	華麗之心	自身がディフェンダーの時、スキル発動後、自身のHPを{0}%回復	While equipped to a Defender, after using a skill, restores {0}% of own HP.	自身为防御者时，发动技能后，恢复自身{0}%的HP。	自身為防禦者時，發動技能後，回復自身HP{0}%。
157	フローリッシュハート	Flourish Heart	华丽之心	華麗之心	自身がディフェンダーの時、スキル発動後、自身のHPを{0}%回復	While equipped to a Defender, after using a skill, restores {0}% of own HP.	自身为防御者时，发动技能后，恢复自身{0}%的HP。	自身為防禦者時，發動技能後，回復自身HP{0}%。
158	炎熱の鎧	Fire Armor	炎热之铠	炎熱之鎧	火属性耐性+{0}%	Boosts Fire resistance by {0}%.	火属性耐性+{0}%。	火屬性耐性+{0}%。
159	炎熱の鎧	Fire Armor	炎热之铠	炎熱之鎧	火属性耐性+{0}%	Boosts Fire resistance by {0}%.	火属性耐性+{0}%。	火屬性耐性+{0}%。
160	風凪の鎧	Air Armor	息风之铠	風止之鎧	風属性耐性+{0}%	Boosts Air resistance by {0}%.	风属性耐性+{0}%。	風屬性耐性+{0}%。
161	風凪の鎧	Air Armor	息风之铠	風止之鎧	風属性耐性+{0}%	Boosts Air resistance by {0}%.	风属性耐性+{0}%。	風屬性耐性+{0}%。
162	ベルベットレイヤード・突	Layered Velvet - Stab	多层丝绒装·突	多層絲絨裝‧突	突属性耐性+{0}%	Boosts Stab resistance by {0}%.	突刺属性耐性+{0}%。	突屬性耐性+{0}%。
163	ベルベットレイヤード・突	Layered Velvet - Stab	多层丝绒装·突	多層絲絨裝‧突	突属性耐性+{0}%	Boosts Stab resistance by {0}%.	突刺属性耐性+{0}%。	突屬性耐性+{0}%。
164	白熱はちまき	White-Hot Headband	白热头巾	灼熱頭巾	物理攻撃から受けるダメージ-{0}%	Reduces damage received from physical attacks by {0}%.	来自物理攻击的伤害-{0}%。	所受物理攻擊傷害-{0}%。
165	白熱はちまき	White-Hot Headband	白热头巾	灼熱頭巾	物理攻撃から受けるダメージ-{0}%	Reduces damage received from physical attacks by {0}%.	来自物理攻击的伤害-{0}%。	所受物理攻擊傷害-{0}%。
166	グローリーベルト	Glory Belt	荣耀腰带	榮耀腰帶	魔法攻撃から受けるダメージ-{0}%	Reduces damage received from magic attacks by {0}%.	来自魔法攻击的伤害-{0}%。	所受魔法攻擊傷害-{0}%。
167	グローリーベルト	Glory Belt	荣耀腰带	榮耀腰帶	魔法攻撃から受けるダメージ-{0}%	Reduces damage received from magic attacks by {0}%.	来自魔法攻击的伤害-{0}%。	所受魔法攻擊傷害-{0}%。
168	鋼の杖	Steel Staff	钢之杖	鋼手杖	自身がサポーターの時、与える強化効果量+{0}%	While equipped to a Supporter, boosts potency of buff effects given by {0}%.	自身为支援者时，给予的强化效果量+{0}%。	自身為支援者時，賦予的強化效果量+{0}%。
169	鋼の杖	Steel Staff	钢之杖	鋼手杖	自身がサポーターの時、与える強化効果量+{0}%	While equipped to a Supporter, boosts potency of buff effects given by {0}%.	自身为支援者时，给予的强化效果量+{0}%。	自身為支援者時，賦予的強化效果量+{0}%。
170	ミーミルの杖	Mimir's Staff	密米尔之杖	密米爾之杖	得意属性が雷属性の時、ブレイクダメージ+{0}%	While equipped to a character with Bolt affinity, boosts stun damage by {0}%.	自身属性为雷属性时，破防伤害+{0}%。	自身屬性為雷屬性時，破防傷害+{0}%。
171	ミーミルの杖	Mimir's Staff	密米尔之杖	密米爾之杖	得意属性が雷属性の時、ブレイクダメージ+{0}%	While equipped to a character with Bolt affinity, boosts stun damage by {0}%.	自身属性为雷属性时，破防伤害+{0}%。	自身屬性為雷屬性時，破防傷害+{0}%。
172	鋼の鎧	Steel Armor	钢之铠	鋼之鎧	自身がサポーターの時、斬打突属性耐性+{0}%	While equipped to a Supporter, boosts Slash, Strike, and Stab resistance by {0}%.	自身为支援者时，斩打突属性耐性+{0}%。	自身為支援者時，斬打突屬性耐性+{0}%。
173	鋼の鎧	Steel Armor	钢之铠	鋼之鎧	自身がサポーターの時、斬打突属性耐性+{0}%	While equipped to a Supporter, boosts Slash, Strike, and Stab resistance by {0}%.	自身为支援者时，斩打突属性耐性+{0}%。	自身為支援者時，斬打突屬性耐性+{0}%。
174	輝く絹の服	Silky Outfit	闪耀丝绢服	閃耀絲絹服	得意属性が雷属性の時、状態異常耐性+{0}%	While equipped to a character with Bolt affinity, boosts status effect resistance by {0}%.	自身属性为雷属性时，异常状态耐性+{0}%。	自身屬性為雷屬性時，異常狀態耐性+{0}%。
175	輝く絹の服	Silky Outfit	闪耀丝绢服	閃耀絲絹服	得意属性が雷属性の時、状態異常耐性+{0}%	While equipped to a character with Bolt affinity, boosts status effect resistance by {0}%.	自身属性为雷属性时，异常状态耐性+{0}%。	自身屬性為雷屬性時，異常狀態耐性+{0}%。
176	パルフューム	Perfume	芬芳之链	誘香項鍊	自身がサポーターの時、火氷雷風属性耐性+{0}%	While equipped to a Supporter, boosts Fire, Ice, Bolt, and Air resistance by {0}%.	自身为支援者时，火冰雷风属性耐性+{0}%。	自身為支援者時，火冰雷風屬性耐性+{0}%。
177	パルフューム	Perfume	芬芳之链	誘香項鍊	自身がサポーターの時、火氷雷風属性耐性+{0}%	While equipped to a Supporter, boosts Fire, Ice, Bolt, and Air resistance by {0}%.	自身为支援者时，火冰雷风属性耐性+{0}%。	自身為支援者時，火冰雷風屬性耐性+{0}%。
178	安らぎのマフラー	Serenity Scarf	宁神围巾	寧神圍巾	自身がブレイカーの時、ブレイクダメージ+{0}%	While equipped to a Breaker, boosts stun damage by {0}%.	自身为破坏者时，破防伤害+{0}%。	自身為破壞者時，破防傷害+{0}%。
179	安らぎのマフラー	Serenity Scarf	宁神围巾	寧神圍巾	自身がブレイカーの時、ブレイクダメージ+{0}%	While equipped to a Breaker, boosts stun damage by {0}%.	自身为破坏者时，破防伤害+{0}%。	自身為破壞者時，破防傷害+{0}%。
180	プリンセスステッキ	Princess Wand	公主之杖	公主手杖	得意属性が氷属性の時、スキル発動後、自身に「魔攻+{0}%」を2回行動終了するまで付与し、<br>自身に「魔防+{1}%」を2回攻撃を受けるまで付与	While equipped to a character with Ice affinity, after using a skill, boosts own M. ATK by {0}% for 2 turns and boosts own M. DEF by {1}% for 2 attacks.	自身属性为冰属性时，发动技能后，赋予自身“魔攻+{0}%”，2次行动结束后失效，<br>赋予自身“魔防+{1}%”，受到2次攻击后失效。	自身屬性為冰屬性時，發動技能後，賦予自身「魔攻+{0}%」，直到行動結束2次為止，<br>並賦予自身「魔防+{1}%」，直到受2次攻擊為止。
181	プリンセスステッキ	Princess Wand	公主之杖	公主手杖	得意属性が氷属性の時、スキル発動後、自身に「魔攻+{0}%」を2回行動終了するまで付与し、<br>自身に「魔防+{1}%」を2回攻撃を受けるまで付与	While equipped to a character with Ice affinity, after using a skill, boosts own M. ATK by {0}% for 2 turns and boosts own M. DEF by {1}% for 2 attacks.	自身属性为冰属性时，发动技能后，赋予自身“魔攻+{0}%”，2次行动结束后失效，<br>赋予自身“魔防+{1}%”，受到2次攻击后失效。	自身屬性為冰屬性時，發動技能後，賦予自身「魔攻+{0}%」，直到行動結束2次為止，<br>並賦予自身「魔防+{1}%」，直到受2次攻擊為止。
182	勇者の剣	Hero's Sword	勇者之剑	勇者之劍	自身のHPが70%以上の時、自身のスキルダメージ+{0}%	Boosts own skill damage by {0}% when own HP is 70% or higher.	自身HP不低于70%时，自身的技能伤害+{0}%。	自身的HP在70%以上時，自身的技能傷害+{0}%。
183	勇者の剣	Hero's Sword	勇者之剑	勇者之劍	自身のHPが70%以上の時、自身のスキルダメージ+{0}%	Boosts own skill damage by {0}% when own HP is 70% or higher.	自身HP不低于70%时，自身的技能伤害+{0}%。	自身的HP在70%以上時，自身的技能傷害+{0}%。
184	プリンセスドレス	Princess Dress	公主裙	公主禮服	得意属性が氷属性の時、状態異常耐性+{0}%	While equipped to a character with Ice affinity, boosts status effect resistance by {0}%.	自身属性为冰属性时，异常状态耐性+{0}%。	自身屬性為冰屬性時，異常狀態耐性+{0}%。
185	プリンセスドレス	Princess Dress	公主裙	公主禮服	得意属性が氷属性の時、状態異常耐性+{0}%	While equipped to a character with Ice affinity, boosts status effect resistance by {0}%.	自身属性为冰属性时，异常状态耐性+{0}%。	自身屬性為冰屬性時，異常狀態耐性+{0}%。
186	勇者の鎧	Hero's Armor	勇者之铠	勇者之鎧	魔法属性のスキル発動時、与えるマイナス効果量+{0}%	When using magic skills, boosts potency of inflicted negative effects by {0}%.	发动魔法属性技能时，给予的负面效果量+{0}%。	發動魔法屬性技能時，賦予的減弱效果量+{0}%。
187	勇者の鎧	Hero's Armor	勇者之铠	勇者之鎧	魔法属性のスキル発動時、与えるマイナス効果量+{0}%	When using magic skills, boosts potency of inflicted negative effects by {0}%.	发动魔法属性技能时，给予的负面效果量+{0}%。	發動魔法屬性技能時，賦予的減弱效果量+{0}%。
188	プリンセスティアラ	Princess Tiara	公主皇冠	公主皇冠	得意属性が氷属性の時、スキルダメージ+{0}%	While equipped to a character with Ice affinity, boosts skill damage by {0}%.	自身属性为冰属性时，技能伤害+{0}%。	自身屬性為冰屬性時，技能傷害+{0}%。
189	プリンセスティアラ	Princess Tiara	公主皇冠	公主皇冠	得意属性が氷属性の時、スキルダメージ+{0}%	While equipped to a character with Ice affinity, boosts skill damage by {0}%.	自身属性为冰属性时，技能伤害+{0}%。	自身屬性為冰屬性時，技能傷害+{0}%。
190	勇者のお守り	Hero's Charm	勇者的护身符	勇者的護身符	バトル開始時、自身に「ターン開始時、HP回復+{0}%」を5回行動開始するまで付与	At the start of battle, boosts own HP recovery at the start of the turn by {0}% for 5 turns.	战斗开始时，赋予自身“回合开始时，恢复HP+{0}%”，回合开始5次后失效。	戰鬥開始時，賦予自身「回合開始時，HP回復+{0}%」，直到行動開始5次為止。
191	勇者のお守り	Hero's Charm	勇者的护身符	勇者的護身符	バトル開始時、自身に「ターン開始時、HP回復+{0}%」を5回行動開始するまで付与	At the start of battle, boosts own HP recovery at the start of the turn by {0}% for 5 turns.	战斗开始时，赋予自身“回合开始时，恢复HP+{0}%”，回合开始5次后失效。	戰鬥開始時，賦予自身「回合開始時，HP回復+{0}%」，直到行動開始5次為止。
192	魔女の剣	Witch's Sword	魔女之剑	魔女之劍	自身がサポーターの時、スキルダメージ+{0}%	While equipped to a Supporter, boosts skill damage by {0}%.	自身为支援者时，技能伤害+{0}%。	自身為支援者時，技能傷害+{0}%。
193	魔女の剣	Witch's Sword	魔女之剑	魔女之劍	自身がサポーターの時、スキルダメージ+{0}%	While equipped to a Supporter, boosts skill damage by {0}%.	自身为支援者时，技能伤害+{0}%。	自身為支援者時，技能傷害+{0}%。
194	吸血鬼の杖	Vampire's Staff	吸血鬼之杖	吸血鬼之杖	自身がアタッカーの時、スキル発動後、自身に「物攻・魔攻+{0}%」を1回行動終了するまで付与	While equipped to an Attacker, after using a skill, boosts own P. ATK and M. ATK by {0}% for 1 turn.	自身为攻击者时，技能发动后，赋予自身“物攻、魔攻+{0}%”，1次行动结束后失效。	自身為攻擊者時，發動技能後，賦予自身「物攻、魔攻+{0}%」，直到行動結束1次為止。
195	吸血鬼の杖	Vampire's Staff	吸血鬼之杖	吸血鬼之杖	自身がアタッカーの時、スキル発動後、自身に「物攻・魔攻+{0}%」を1回行動終了するまで付与	While equipped to an Attacker, after using a skill, boosts own P. ATK and M. ATK by {0}% for 1 turn.	自身为攻击者时，技能发动后，赋予自身“物攻、魔攻+{0}%”，1次行动结束后失效。	自身為攻擊者時，發動技能後，賦予自身「物攻、魔攻+{0}%」，直到行動結束1次為止。
196	魔女の服	Witch's Outfit	魔女之服	魔女服	自身がサポーターの時、受けるダメージ-{0}%	While equipped to a Supporter, reduces damage by {0}%.	自身为支援者时，所受伤害-{0}%。	自身為支援者時，所受傷害-{0}%。
197	魔女の服	Witch's Outfit	魔女之服	魔女服	自身がサポーターの時、受けるダメージ-{0}%	While equipped to a Supporter, reduces damage by {0}%.	自身为支援者时，所受伤害-{0}%。	自身為支援者時，所受傷害-{0}%。
198	吸血鬼のマント	Vampire's Cloak	吸血鬼披风	吸血鬼披風	斬打突属性耐性+{0}%と状態異常耐性+{1}%	Boosts Slash/Strike/Stab resistance by {0}% and status effect resistance by {1}%.	斩打突属性耐性+{0}%，异常状态耐性+{1}%。	斬打突屬性耐性+{0}%與異常狀態耐性+{1}%。
199	吸血鬼のマント	Vampire's Cloak	吸血鬼披风	吸血鬼披風	斬打突属性耐性+{0}%と状態異常耐性+{1}%	Boosts Slash/Strike/Stab resistance by {0}% and status effect resistance by {1}%.	斩打突属性耐性+{0}%，异常状态耐性+{1}%。	斬打突屬性耐性+{0}%與異常狀態耐性+{1}%。
200	魔女のお面	Witch's Mask	魔女面具	魔女面具	自身がサポーターの時、与える強化効果量+{0}%	While equipped to a Supporter, boosts potency of buff effects given by {0}%.	自身为支援者时，给予的强化效果量+{0}%。	自身為支援者時，賦予的強化效果量+{0}%。
201	魔女のお面	Witch's Mask	魔女面具	魔女面具	自身がサポーターの時、与える強化効果量+{0}%	While equipped to a Supporter, boosts potency of buff effects given by {0}%.	自身为支援者时，给予的强化效果量+{0}%。	自身為支援者時，賦予的強化效果量+{0}%。
202	吸血鬼のブローチ	Vampire's Brooch	吸血鬼胸针	吸血鬼胸針	得意属性が火属性の時、スキルダメージ+{0}%とバーストスキルダメージ+{1}%	While equipped to a character with Fire affinity, boosts skill damage by {0}% and burst skill damage by {1}%.	自身属性为火属性时，技能伤害+{0}%，爆发技能伤害+{1}%。	自身屬性為火屬性時，技能傷害+{0}%與爆發技能傷害+{1}%。
203	吸血鬼のブローチ	Vampire's Brooch	吸血鬼胸针	吸血鬼胸針	得意属性が火属性の時、スキルダメージ+{0}%とバーストスキルダメージ+{1}%	While equipped to a character with Fire affinity, boosts skill damage by {0}% and burst skill damage by {1}%.	自身属性为火属性时，技能伤害+{0}%，爆发技能伤害+{1}%。	自身屬性為火屬性時，技能傷害+{0}%與爆發技能傷害+{1}%。
204	まじないほうき	Enchanted Broom	咒文扫帚	咒文掃帚	得意属性が火属性かつアタッカーの時、全体攻撃のスキルダメージ+{0}%	While equipped to an Attacker with Fire affinity, boosts skill damage of attacks that target all enemies by {0}%.	自身属性为火属性且身为攻击者时，全体攻击的技能伤害+{0}%。	自身屬性為火屬性並為攻擊者時，全體攻擊的技能傷害+{0}%。
205	まじないほうき	Enchanted Broom	咒文扫帚	咒文掃帚	得意属性が火属性かつアタッカーの時、全体攻撃のスキルダメージ+{0}%	While equipped to an Attacker with Fire affinity, boosts skill damage of attacks that target all enemies by {0}%.	自身属性为火属性且身为攻击者时，全体攻击的技能伤害+{0}%。	自身屬性為火屬性並為攻擊者時，全體攻擊的技能傷害+{0}%。
206	メタルターナー	Metal Stirrer	金属锅铲	金屬鍋鏟	得意属性が打属性かつディフェンダーの時、スキル発動後、味方全員に「受けるダメージ-{0}%」を1回攻撃を受けるまで付与	While equipped to a Defender with Strike affinity, after using a skill, reduces all allies' damage received by {0}% for 1 attack.	自身属性为打击属性且身为防御者时，技能发动后，赋予我方全体“所受伤害-{0}%”，受到1次攻击后失效。	自身屬性為打屬性並為防禦者時，發動技能後，賦予我方全體「所受傷害-{0}%」，直到受1次攻擊為止。
207	メタルターナー	Metal Stirrer	金属锅铲	金屬鍋鏟	得意属性が打属性かつディフェンダーの時、スキル発動後、味方全員に「受けるダメージ-{0}%」を1回攻撃を受けるまで付与	While equipped to a Defender with Strike affinity, after using a skill, reduces all allies' damage received by {0}% for 1 attack.	自身属性为打击属性且身为防御者时，技能发动后，赋予我方全体“所受伤害-{0}%”，受到1次攻击后失效。	自身屬性為打屬性並為防禦者時，發動技能後，賦予我方全體「所受傷害-{0}%」，直到受1次攻擊為止。
208	羽根飾り	Feather Pin	羽毛饰品	羽毛飾品	得意属性が火属性かつアタッカーの時、スキル発動後、自身のHPを{0}%回復	While equipped to an Attacker with Fire affinity, after using a skill, restores own HP by {0}%.	自身属性为火属性且身为攻击者时，技能发动后，恢复自身{0}%的HP。	自身屬性為火屬性並為攻擊者時，發動技能後，回復自身HP{0}%。
209	羽根飾り	Feather Pin	羽毛饰品	羽毛飾品	得意属性が火属性かつアタッカーの時、スキル発動後、自身のHPを{0}%回復	While equipped to an Attacker with Fire affinity, after using a skill, restores own HP by {0}%.	自身属性为火属性且身为攻击者时，技能发动后，恢复自身{0}%的HP。	自身屬性為火屬性並為攻擊者時，發動技能後，回復自身HP{0}%。
210	神秘のタリスマン	Mystic Talisman	神秘护符	神秘護符	得意属性が斬属性かつサポーターの時、スキル発動後、味方全員に「受ける魔法攻撃ダメージ-{0}%」を1回攻撃を受けるまで付与	While equipped to a Supporter with Slash affinity, after using a skill, reduces all allies' damage received from magic attacks by {0}% for 1 attack.	自身属性为斩击属性且身为支援者时，技能发动后，赋予我方全体“所受魔法攻击伤害-{0}%”，受到1次攻击后失效。	自身屬性為斬屬性並為支援者時，發動技能後，賦予我方全體「所受魔法攻擊傷害-{0}%」，直到受1次攻擊為止。
211	神秘のタリスマン	Mystic Talisman	神秘护符	神秘護符	得意属性が斬属性かつサポーターの時、スキル発動後、味方全員に「受ける魔法攻撃ダメージ-{0}%」を1回攻撃を受けるまで付与	While equipped to a Supporter with Slash affinity, after using a skill, reduces all allies' damage received from magic attacks by {0}% for 1 attack.	自身属性为斩击属性且身为支援者时，技能发动后，赋予我方全体“所受魔法攻击伤害-{0}%”，受到1次攻击后失效。	自身屬性為斬屬性並為支援者時，發動技能後，賦予我方全體「所受魔法攻擊傷害-{0}%」，直到受1次攻擊為止。
212	さすらい人の服	Wanderer's Clothes	流浪者之服	漂泊者服	得意属性が火属性かつアタッカーの時、受ける強化効果量+{0}%	While equipped to an Attacker with Fire affinity, boosts potency of received buff effects by {0}%.	自身属性为火属性且身为攻击者时，所受强化效果量+{0}%。	自身屬性為火屬性並為攻擊者時，所受強化效果量+{0}%。
213	さすらい人の服	Wanderer's Clothes	流浪者之服	漂泊者服	得意属性が火属性かつアタッカーの時、受ける強化効果量+{0}%	While equipped to an Attacker with Fire affinity, boosts potency of received buff effects by {0}%.	自身属性为火属性且身为攻击者时，所受强化效果量+{0}%。	自身屬性為火屬性並為攻擊者時，所受強化效果量+{0}%。
214	薬草のポンチョ	Herbal Poncho	药草斗篷	藥草斗篷	得意属性が打属性かつディフェンダーの時、単体攻撃から受けるダメージ-{0}%	While equipped to a Defender with Strike affinity, reduces damage received from single-target attacks by {0}%.	自身属性为打击属性且身为防御者时，来自单体攻击的伤害-{0}%。	自身屬性為打屬性並為防禦者時，所受單體攻擊傷害-{0}%。
215	薬草のポンチョ	Herbal Poncho	药草斗篷	藥草斗篷	得意属性が打属性かつディフェンダーの時、単体攻撃から受けるダメージ-{0}%	While equipped to a Defender with Strike affinity, reduces damage received from single-target attacks by {0}%.	自身属性为打击属性且身为防御者时，来自单体攻击的伤害-{0}%。	自身屬性為打屬性並為防禦者時，所受單體攻擊傷害-{0}%。
216	オーレスケイル	Ore Scale Armor	矿石鳞甲	礦石鱗甲	得意属性が氷属性かつサポーターの時、与えるマイナス効果量+{0}%	While equipped to a Supporter with Ice affinity, boosts potency of inflicted negative effects by {0}%.	自身属性为冰属性且身为支援者时，给予的负面效果量+{0}%。	自身屬性為冰屬性並為支援者時，賦予的減弱效果量+{0}%。
217	オーレスケイル	Ore Scale Armor	矿石鳞甲	礦石鱗甲	得意属性が氷属性かつサポーターの時、与えるマイナス効果量+{0}%	While equipped to a Supporter with Ice affinity, boosts potency of inflicted negative effects by {0}%.	自身属性为冰属性且身为支援者时，给予的负面效果量+{0}%。	自身屬性為冰屬性並為支援者時，賦予的減弱效果量+{0}%。
218	デイフーガ	Daylight	白日朝晖	白日朝暉	得意属性が氷属性かつアタッカーの時、スキル発動後、自身に「魔攻+{0}%」を2回行動終了するまで付与	While equipped to an Attacker with Ice affinity, after using a skill, boosts own M. ATK by {0}% for 2 turns.	自身属性为冰属性且身为攻击者时，技能发动后，赋予自身“魔攻+{0}%”，2次行动结束后失效。	自身屬性為冰屬性並為攻擊者時，發動技能後，賦予自身「魔攻+{0}%」，直到行動結束2次為止。
219	デイフーガ	Daylight	白日朝晖	白日朝暉	得意属性が氷属性かつアタッカーの時、スキル発動後、自身に「魔攻+{0}%」を2回行動終了するまで付与	While equipped to an Attacker with Ice affinity, after using a skill, boosts own M. ATK by {0}% for 2 turns.	自身属性为冰属性且身为攻击者时，技能发动后，赋予自身“魔攻+{0}%”，2次行动结束后失效。	自身屬性為冰屬性並為攻擊者時，發動技能後，賦予自身「魔攻+{0}%」，直到行動結束2次為止。
220	コールドハンマー	Cold Hammer	冰冷锤子	冰寒之錘	得意属性が氷属性かつアタッカーの時、スキル発動後、自身に「魔攻+{0}%」を2回行動終了するまで付与し、<br>自身に「魔防+{1}%」を2回攻撃を受けるまで付与	While equipped to an Attacker with Ice affinity, after using a skill, boosts own M. ATK by {0}% for 2 turns and boosts own M. DEF by {1}% for 2 attacks.	自身属性为冰属性且身为攻击者时，技能发动后，赋予自身“魔攻”+{0}%，2次行动结束后失效，<br>赋予自身“魔防+{1}%”，受到2次攻击后失效。	自身屬性為冰屬性並為攻擊者時，發動技能後，賦予自身「魔攻+{0}%」，直到行動結束2次為止，<br>並賦予自身「魔防+{1}%」，直到受2次攻擊為止。
221	コールドハンマー	Cold Hammer	冰冷锤子	冰寒之錘	得意属性が氷属性かつアタッカーの時、スキル発動後、自身に「魔攻+{0}%」を2回行動終了するまで付与し、<br>自身に「魔防+{1}%」を2回攻撃を受けるまで付与	While equipped to an Attacker with Ice affinity, after using a skill, boosts own M. ATK by {0}% for 2 turns and boosts own M. DEF by {1}% for 2 attacks.	自身属性为冰属性且身为攻击者时，技能发动后，赋予自身“魔攻”+{0}%，2次行动结束后失效，<br>赋予自身“魔防+{1}%”，受到2次攻击后失效。	自身屬性為冰屬性並為攻擊者時，發動技能後，賦予自身「魔攻+{0}%」，直到行動結束2次為止，<br>並賦予自身「魔防+{1}%」，直到受2次攻擊為止。
222	ラギーソード	Rugged Sword	不工之剑	不工之劍	得意属性が斬属性かつサポーターの時、スキル発動後、味方全員に「物理攻撃スキルダメージ+{0}%」を1回行動終了するまで付与	While equipped to a Supporter with Slash affinity, after using a skill, boosts all allies' physical attack skill damage by {0}% for 1 turn.	自身属性为斩击属性且身为支援者时，技能发动后，赋予我方全体“物理攻击技能伤害+{0}%”，1次行动结束后失效。	自身屬性為斬屬性並為支援者時，發動技能後，賦予我方全體「物理攻擊技能傷害+{0}%」，直到行動結束1次為止。
223	ラギーソード	Rugged Sword	不工之剑	不工之劍	得意属性が斬属性かつサポーターの時、スキル発動後、味方全員に「物理攻撃スキルダメージ+{0}%」を1回行動終了するまで付与	While equipped to a Supporter with Slash affinity, after using a skill, boosts all allies' physical attack skill damage by {0}% for 1 turn.	自身属性为斩击属性且身为支援者时，技能发动后，赋予我方全体“物理攻击技能伤害+{0}%”，1次行动结束后失效。	自身屬性為斬屬性並為支援者時，發動技能後，賦予我方全體「物理攻擊技能傷害+{0}%」，直到行動結束1次為止。
224	スケイルアーマー	Scale Armor	鳞片铠甲	鱗片鎧甲	得意属性が斬属性かつサポーターの時、与える強化効果量+{0}%とスキルダメージ+{1}%	While equipped to a Supporter with Slash affinity, boosts potency of buff effects given by {0}% and boosts skill damage by {1}%.	自身属性为斩击属性且身为支援者时，给予的强化效果量+{0}%，技能伤害+{1}%。	自身屬性為斬屬性並為支援者時，賦予的強化效果量+{0}%與技能傷害+{1}%。
225	スケイルアーマー	Scale Armor	鳞片铠甲	鱗片鎧甲	得意属性が斬属性かつサポーターの時、与える強化効果量+{0}%とスキルダメージ+{1}%	While equipped to a Supporter with Slash affinity, boosts potency of buff effects given by {0}% and boosts skill damage by {1}%.	自身属性为斩击属性且身为支援者时，给予的强化效果量+{0}%，技能伤害+{1}%。	自身屬性為斬屬性並為支援者時，賦予的強化效果量+{0}%與技能傷害+{1}%。
226	ナチュラルコート	Natural Coat	自然大衣	自然大衣	得意属性が雷属性かつブレイカーの時、スキル発動後、自身に「ブレイクダメージ+{0}%」を2回行動終了するまで付与	While equipped to a Breaker with Bolt affinity, after using a skill, boosts own stun damage by {0}% for 2 turns.	自身属性为雷属性且身为破坏者时，技能发动后，赋予自身“破防伤害+{0}%”，2次行动结束后失效。	自身屬性為雷屬性並為破壞者時，發動技能後，賦予自身「破防傷害+{0}%」，直到行動結束2次為止。
227	ナチュラルコート	Natural Coat	自然大衣	自然大衣	得意属性が雷属性かつブレイカーの時、スキル発動後、自身に「ブレイクダメージ+{0}%」を2回行動終了するまで付与	While equipped to a Breaker with Bolt affinity, after using a skill, boosts own stun damage by {0}% for 2 turns.	自身属性为雷属性且身为破坏者时，技能发动后，赋予自身“破防伤害+{0}%”，2次行动结束后失效。	自身屬性為雷屬性並為破壞者時，發動技能後，賦予自身「破防傷害+{0}%」，直到行動結束2次為止。
228	ダークレザー	Dark Leather Armor	暗黑皮铠	暗黑皮鎧	得意属性が風属性かつサポーターの時、与える強化効果量+{0}%	While equipped to a Supporter with Air affinity, boosts potency of buff effects given by {0}%.	自身属性为风属性且身为支援者时，给予的强化效果量+{0}%。	自身屬性為風屬性並為支援者時，賦予的強化效果量+{0}%。
229	ダークレザー	Dark Leather Armor	暗黑皮铠	暗黑皮鎧	得意属性が風属性かつサポーターの時、与える強化効果量+{0}%	While equipped to a Supporter with Air affinity, boosts potency of buff effects given by {0}%.	自身属性为风属性且身为支援者时，给予的强化效果量+{0}%。	自身屬性為風屬性並為支援者時，賦予的強化效果量+{0}%。
230	オルフィックリング・氷	Orphic Ring: Ice	神秘戒指·冰	魔性戒指‧冰	得意属性が氷属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Ice affinity, boosts skill damage by {0}%.	自身属性为冰属性且身为攻击者时，技能伤害+{0}%。	自身屬性為冰屬性並為攻擊者時，技能傷害+{0}%。
231	オルフィックリング・氷	Orphic Ring: Ice	神秘戒指·冰	魔性戒指‧冰	得意属性が氷属性かつアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker with Ice affinity, boosts skill damage by {0}%.	自身属性为冰属性且身为攻击者时，技能伤害+{0}%。	自身屬性為冰屬性並為攻擊者時，技能傷害+{0}%。
232	オルフィックリング・雷	Orphic Ring: Bolt	神秘戒指·雷	魔性戒指‧雷	得意属性が雷属性かつブレイカーの時、全体攻撃のブレイクダメージ+{0}%	While equipped to a Breaker with Bolt affinity, boosts stun damage of attacks that target all enemies by {0}%.	自身属性为雷属性且身为破坏者时，全体攻击的破防伤害+{0}%。	自身屬性為雷屬性並為破壞者時，全體攻擊的破防傷害+{0}%。
233	オルフィックリング・雷	Orphic Ring: Bolt	神秘戒指·雷	魔性戒指‧雷	得意属性が雷属性かつブレイカーの時、全体攻撃のブレイクダメージ+{0}%	While equipped to a Breaker with Bolt affinity, boosts stun damage of attacks that target all enemies by {0}%.	自身属性为雷属性且身为破坏者时，全体攻击的破防伤害+{0}%。	自身屬性為雷屬性並為破壞者時，全體攻擊的破防傷害+{0}%。
234	ビギナースタッフ	Beginner's Staff	新手魔杖	初學者之杖	自身がサポーターの時、スキル発動後、対象に「受けるHP回復量+{0}%」を1回行動終了するまで付与	While equipped to a Supporter, after using a skill, boosts target's HP recovery received by {0}% for 1 turn.	自身为支援者时，技能发动后，赋予目标“所受HP恢复量+{0}%”，1次行动结束后失效。	自身為支援者時，發動技能後，賦予目標「所受HP回復量+{0}%」，直到行動結束1次為止。
